"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","richness","area","mean_csi","sd_csi","bp"
"Hawaii",19.0057994252231,1190.15322678641,1007,-116,4195,157468.251792592,22,10458760465,0.16350237,0.050760293,1
"Kauai",54.5616003909835,389.293598726803,258,-8,1585,173473.558510467,25,1436728537,0.126793626,0.01308001,0
"Lanai",30.6563929522179,314.385920804525,330,-21,1021,34215.8717947288,3,365402133,0.098972432,0.001151731,0
"Maui",44.1102492798993,670.957192582152,457,-126,3046,61659.0507117897,29,1887674727,0.121099691,0.013620971,0
"Molokai",45.9326511453094,319.098785437597,208,-15,1495,34215.8717947288,8,675276823.3,0.10379961,0.007680436,0
"Oahu",43.1459992821346,216.787089231844,182,-11,1218,105924.093518235,10,1546408036,0.102769313,0.008221732,0
