name,TRI,mean_elev,median_elev,min_elev,max_elev,Nearest_Dist,nearest_occ,richness,presence,area,mean_csi,sd_csi,lineage,dispersal,n_habitat,archipelago
Baltra,7.936431941,30.97311581,29,1,78,21385.25983,0,1,1,25371916.97,0.178413562,0.01268657,scalesia,low,22,galap
EspaÃ±ola,12.18023057,71.94861018,75,-3,207,67145.68723,67145.68723,0,0,61054846.72,0.187373122,0.001039959,scalesia,low,22,galap
Fernandina,21.64556894,311.343109,161,-10,1477,41426.18228,0,2,1,647785026.1,0.148749769,0.01700149,scalesia,low,22,galap
Floreana,19.11833818,164.8181054,145,-20,560,67395.58887,0,3,1,173255834.2,0.158659022,0.010021321,scalesia,low,22,galap
Isabela,16.10624491,306.6805381,172,-1057,1702,41426.18228,0,3,1,4728218061,0.157322469,0.01592323,scalesia,low,22,galap
Marchena,13.73683298,96.36198435,73,-91,331,42254.12446,42254.12446,0,0,131794446.7,0.224926487,0.008964501,scalesia,low,22,galap
Pinta,28.64550413,172.7404841,128,-97,630,42254.12446,0,1,1,59696119.52,0.232972001,0.003244833,scalesia,low,22,galap
PinzÃ³n,46.82150366,190.0009699,181,-10,451,34338.13779,0,1,1,18035543.75,0.129259989,0,scalesia,low,22,galap
San Cristobal,13.40334824,142.0904041,92,-115,713,67145.68723,0,4,1,560242636.4,0.207429454,0.005613187,scalesia,low,22,galap
Santa Cruz,10.0243467,173.6622068,121,-579,1564,21385.25983,0,6,1,987013955.1,0.173693454,0.010444653,scalesia,low,22,galap
Santa FÃ©,28.11331344,107.9841044,112,-28,254,39583.45659,0,1,1,24559640.41,0.181641519,0,scalesia,low,22,galap
Santiago,15.21005891,182.9695419,111,-1493,905,38649.00878,0,3,1,577341229.9,0.175264352,0.013162276,scalesia,low,22,galap
Hawaii,19.00579943,1190.153227,1007,-116,4195,157468.2518,0,22,1,10458760465,0.16350237,0.050760293,silverswords,moderate,33,hawaii
Kauai,54.56160039,389.2935987,258,-8,1585,173473.5585,0,25,1,1436728537,0.126793626,0.01308001,silverswords,moderate,33,hawaii
Lanai,30.65639295,314.3859208,330,-21,1021,34215.87179,0,3,1,365402133,0.098972432,0.001151731,silverswords,moderate,33,hawaii
Maui,44.11024928,670.9571926,457,-126,3046,61659.05071,0,29,1,1887674727,0.121099691,0.013620971,silverswords,moderate,33,hawaii
Molokai,45.93265115,319.0987854,208,-15,1495,34215.87179,0,8,1,675276823.3,0.10379961,0.007680436,silverswords,moderate,33,hawaii
Oahu,43.14599928,216.7870892,182,-11,1218,105924.0935,0,10,1,1546408036,0.102769313,0.008221732,silverswords,moderate,33,hawaii
Hawaii,19.00579943,1190.153227,1007,-116,4195,157468.2518,0,6,1,10458760465,0.16350237,0.050760293,tetragnatha,high,8,hawaii
Kauai,54.56160039,389.2935987,258,-8,1585,173473.5585,0,3,1,1436728537,0.126793626,0.01308001,tetragnatha,high,8,hawaii
Lanai,30.65639295,314.3859208,330,-21,1021,34215.87179,0,2,1,365402133,0.098972432,0.001151731,tetragnatha,high,8,hawaii
Maui,44.11024928,670.9571926,457,-126,3046,61659.05071,0,7,1,1887674727,0.121099691,0.013620971,tetragnatha,high,8,hawaii
Molokai,45.93265115,319.0987854,208,-15,1495,34215.87179,0,2,1,675276823.3,0.10379961,0.007680436,tetragnatha,high,8,hawaii
Oahu,43.14599928,216.7870892,182,-11,1218,105924.0935,0,5,1,1546408036,0.102769313,0.008221732,tetragnatha,high,8,hawaii
A Quatre,60.81551309,43.984375,38,-6,127,6598.344451,104577.8617,0,0,1436306.586,0.174239021,0.005804098,eleutherodactylus,low,38,carib
Acklins,3.995898072,5.060961299,4,-108,98,30146.76655,181485.3375,0,0,446074531.3,0.143868436,0.007176307,eleutherodactylus,low,38,carib
Acklins.1,4.407565652,5.008270677,4,-2,16,2079.605698,160498.8681,0,0,6872918.692,0.141802549,0,eleutherodactylus,low,38,carib
Allan Cay,4.610583348,3.025114155,3,-1,9,19117.74709,81401.01846,0,0,2164222.806,0.17668771,0.00016824,eleutherodactylus,low,38,carib
Allen Cay,6.536510737,3.296577947,2,-13,16,7393.240639,104525.0587,0,0,1349883.35,0.137208752,0.007027829,eleutherodactylus,low,38,carib
Andros,3.71429312,3.793021556,4,-63,38,8106.851544,114013.2178,2,1,28019048.88,0.141461009,0.01142891,eleutherodactylus,low,38,carib
Andros.1,3.525376083,3.21350365,3,-26,13,4900.869581,122372.6406,0,0,8426909.065,0.142796006,0.00815578,eleutherodactylus,low,38,carib
Andros.10,3.303268551,5.55799373,6,2,16,3630.056596,116792.1307,0,0,4841111.013,0.129572615,0,eleutherodactylus,low,38,carib
Andros.11,3.341573216,3.469211823,3,0,8,1803.101147,160189.9696,0,0,4133929.866,0.135681316,0,eleutherodactylus,low,38,carib
Andros.12,3.273075718,3.639850327,4,0,8,1803.101147,158971.2431,0,0,5455207.272,0.136939079,0,eleutherodactylus,low,38,carib
Andros.13,3.03477175,3.739726027,4,0,8,1694.582991,163373.0977,0,0,3044652.547,0,0,eleutherodactylus,low,38,carib
Andros.14,4.788030481,0.536803365,0,-5,14,3630.056596,114503.6726,0,0,9667834.246,0.127576441,0,eleutherodactylus,low,38,carib
Andros.15,3.661920809,3.717147436,4,-1,18,3245.302771,158136.9567,0,0,6392733.211,0.134193346,0,eleutherodactylus,low,38,carib
Andros.16,3.56827542,4.006514658,4,-1,13,5636.598623,128939.2348,0,0,1552530.351,0.138143271,0,eleutherodactylus,low,38,carib
Andros.18,3.320794666,3.540617473,3,-32,28,6982.889501,115563.6157,0,0,93692000.95,0.129340301,0.000370984,eleutherodactylus,low,38,carib
Andros.19,3.941306335,3.306936965,3,-64,49,6291.512539,121272.4069,0,0,32382056.07,0.135594316,0.00624156,eleutherodactylus,low,38,carib
Andros.2,4.256107512,4.270676692,4,-4,17,2774.402707,107065.4583,0,0,1332509.119,0.132419132,0.008657922,eleutherodactylus,low,38,carib
Andros.20,5.979406601,3.303964758,4,-46,18,4909.649031,126710.7069,0,0,3490521.646,0.153453924,0.010323586,eleutherodactylus,low,38,carib
Andros.21,3.362508194,3.729241877,4,-1,9,6982.889501,109870.4767,0,0,1407517.149,0.128347129,0.00060402,eleutherodactylus,low,38,carib
Andros.24,3.157206357,2.885201093,3,-13,43,5139.139246,122065.0402,0,0,13112234.61,0.138544798,0,eleutherodactylus,low,38,carib
Andros.25,7.300949628,2.252152522,3,-46,56,6495.683557,122449.7055,0,0,4172238.006,0.137931231,0.009714624,eleutherodactylus,low,38,carib
Andros.27,4.727241508,3.135667396,3,-20,35,6495.683557,120944.018,0,0,2320039.381,0.141254716,0.004056666,eleutherodactylus,low,38,carib
Andros.28,5.27922227,4.735294118,5,-7,34,5884.409046,104393.186,0,0,2595186.15,0.12564671,0.000234063,eleutherodactylus,low,38,carib
Andros.29,3.896317422,4.2,4,1,12,3700.784736,104918.0361,0,0,1898971.087,0.126694456,0.000411585,eleutherodactylus,low,38,carib
Andros.3,2.802378796,4.232091691,4,0,8,2614.265437,116135.8513,0,0,1798851.649,0.155278996,0,eleutherodactylus,low,38,carib
Andros.30,3.276137863,4.104395604,4,-16,11,2333.680069,101396.4298,0,0,7458406.528,0.125137152,0.001186099,eleutherodactylus,low,38,carib
Andros.31,3.084167533,4.302884615,4,-2,11,2333.680069,100923.6004,0,0,6427365.962,0.125107273,0,eleutherodactylus,low,38,carib
Andros.32,3.562755928,4.618229855,4,-1,26,2737.118575,97127.51096,0,0,3877662.277,0.124537293,0.00067631,eleutherodactylus,low,38,carib
Andros.33,5.825250133,3.377570093,3,-23,56,1648.510383,131346.078,0,0,2758147.538,0.144306228,0,eleutherodactylus,low,38,carib
Andros.34,3.27517833,3.570281124,4,0,9,1648.510383,129866.3546,0,0,1299758.303,0.157920964,0.019254145,eleutherodactylus,low,38,carib
Andros.36,3.621661214,4.110689655,4,-58,65,6141.031833,125131.2012,0,0,44720901.5,0.131619439,0.001185549,eleutherodactylus,low,38,carib
Andros.37,9.704189477,3.230538922,4,-53,33,3010.875921,134139.7948,0,0,1707478.909,0.161301874,0.015937188,eleutherodactylus,low,38,carib
Andros.38,4.333971607,3.385714286,3,-37,9,2148.311643,130697.7934,0,0,2522162.349,0.16250737,0.018658683,eleutherodactylus,low,38,carib
Andros.39,5.059305537,4.132550336,4,-14,22,2148.311643,128550.7444,0,0,3090279.976,0.140977398,0,eleutherodactylus,low,38,carib
Andros.4,4.40322885,4.245614035,4,-14,28,1688.469352,98729.83741,0,0,2048655.476,0.124725964,0.001611879,eleutherodactylus,low,38,carib
Andros.42,3.855507774,3.298657718,4,-14,6,3010.875921,131595.3167,0,0,1517208.389,0.166662484,0.00835614,eleutherodactylus,low,38,carib
Andros.5,2.590759833,3.901734104,4,1,8,4682.267045,108069.6653,0,0,2651046.432,0.138956286,0.004945121,eleutherodactylus,low,38,carib
Andros.6,2.809132957,3.784922395,4,1,8,4682.267045,104947.9258,0,0,2331049.821,0.126496769,0.001580602,eleutherodactylus,low,38,carib
Andros.7,14.8747891,4.90990991,5,-64,85,14739.60737,149996.7141,0,0,5115160.035,0.135708764,0,eleutherodactylus,low,38,carib
Andros.9,2.667084234,3.250773994,3,0,6,1694.582991,165054.3605,0,0,1600652.889,0.139189094,0.004960747,eleutherodactylus,low,38,carib
Anegada,3.121981684,2.917880795,3,-28,11,28737.45688,0,1,1,40111776.74,0.150579358,0.006543919,eleutherodactylus,low,38,carib
Anguilla,8.427062048,21.32821413,19,-11,85,13994.22653,0,1,1,72789842.34,0.141536027,0.002259744,eleutherodactylus,low,38,carib
Anguilla Cay,6.100783758,8.452887538,8,2,14,8630.380073,226133.3367,0,0,1673260.651,0.146521375,0.001021011,eleutherodactylus,low,38,carib
Antigua,20.62964241,48.4364339,30,-397,383,56167.02515,0,2,1,274569789.4,0.144811836,0.007687098,eleutherodactylus,low,38,carib
August Cay,2.670562861,2.03125,2,-2,8,4463.43998,73408.05818,0,0,9137730.106,0.167640209,0,eleutherodactylus,low,38,carib
Baliceaux,44.65344622,45.09958506,39,3,112,8867.754249,107448.7613,0,0,1309288.555,0.165782809,0.000351252,eleutherodactylus,low,38,carib
Bamboo Cay,5.751296325,6.465976331,5,-12,77,17026.25037,91547.25261,0,0,27304212.04,0.163965091,0,eleutherodactylus,low,38,carib
Barbados,11.5510786,106.9035954,82,-22,336,172740.3452,0,2,1,434104883,0.165474817,0.00209431,eleutherodactylus,low,38,carib
Barbuda,3.519902044,13.21282513,9,-130,71,10982.27928,0,2,1,136370548,0.136884051,0.010097821,eleutherodactylus,low,38,carib
Barbuda.1,3.652754298,4.610421836,5,-1,10,10982.27928,10982.27928,0,0,6454231.733,0.14692894,0.016680964,eleutherodactylus,low,38,carib
Basin Harbour Cay,5.006589952,3.606508876,3,-1,11,6710.404014,56108.6434,0,0,1669429.199,0.176299833,0.002482924,eleutherodactylus,low,38,carib
Beef,33.27871787,35.4386423,12,-17,205,3850.65221,10202.62375,1,1,4070844.874,0.152165741,0,eleutherodactylus,low,38,carib
Bell Island,8.361234407,9.551020408,9,-16,20,5949.40237,28960.76238,1,1,1509627.188,0.130038098,0,eleutherodactylus,low,38,carib
Bequia,54.33090563,85.80123372,78,-15,256,6598.344451,102984.1215,0,0,15959124.98,0.175590098,0,eleutherodactylus,low,38,carib
Big Ambergris Cay,6.284269864,5.454035874,5,-5,22,6097.773817,268988.8484,0,0,4697809.864,0.201285591,0.019402563,eleutherodactylus,low,38,carib
Big Coppice Mangrove,9.050320471,-0.070217918,1,-26,3,6800.336216,27614.58868,0,0,2096387.023,0.159568364,0.03636668,eleutherodactylus,low,38,carib
Big Cross Cay,14.74075084,-2.428571429,0,-55,24,2490.000024,62625.53397,0,0,1578653.343,0.173641972,0.001583236,eleutherodactylus,low,38,carib
Big Cross Cay.1,2.228567453,-0.371698113,0,-4,3,1605.021144,86810.60713,0,0,2657169.726,0.174755111,0.000503339,eleutherodactylus,low,38,carib
Big Farmer?s Cay,8.232782393,9.319196429,9,-18,26,9183.196919,76610.26025,0,0,2307551.175,0.135631685,0.004497327,eleutherodactylus,low,38,carib
Big Joe Downer Cay,5.172517358,0.797188755,1,-19,5,3534.087114,34574.34139,0,0,2499357.563,0.169320181,0.006946412,eleutherodactylus,low,38,carib
Big Lake Cay,27.95649877,-3.601851852,1,-80,14,7205.397949,34790.56871,0,0,1599302.961,0.186865836,0,eleutherodactylus,low,38,carib
Big Wood Cay,3.58192434,5.226118584,5,-52,60,3439.885809,99837.89719,0,0,74427890.44,0.125017589,0.001532701,eleutherodactylus,low,38,carib
Bock Cay,7.36953416,8.795665635,8,-3,24,2797.812107,96647.13457,0,0,1626588.66,0.14276503,0.014277161,eleutherodactylus,low,38,carib
Bonavista Cay,4.499412752,4.198019802,4,-1,14,4247.669343,225207.0539,0,0,1584437.884,0.16759416,0.004838881,eleutherodactylus,low,38,carib
Bonds Cay,7.216901397,10.22671353,10,1,22,10411.15376,88962.01946,0,0,2863206.699,0.131772228,0.003271322,eleutherodactylus,low,38,carib
Caja de Muertos,14.33056718,13.50347222,9,-2,62,36959.98827,36959.98827,0,0,1552431.009,0.136704877,0,eleutherodactylus,low,38,carib
Canouan,43.40847988,54.76074499,44,0,234,11167.05529,77574.53981,0,0,7652446.683,0.157245323,0,eleutherodactylus,low,38,carib
Carriacou Island,33.91220888,66.61167513,48,1,285,8625.803583,47759.53251,0,0,32353627.48,0.152968921,0.003590585,eleutherodactylus,low,38,carib
Castle,16.31599217,5.25,6,-230,59,49340.56112,213116.458,0,0,2035792.131,0.135752067,0.063707743,eleutherodactylus,low,38,carib
Cat,6.34740276,11.19747199,9,-245,110,50991.931,107185.2395,1,1,358909356.8,0.132290761,0.008756092,eleutherodactylus,low,38,carib
Cayeria Las Cayamas,3.041858894,4.848976711,5,-3,10,2967.444389,383975.7996,0,0,7389768.892,0.132527098,0,eleutherodactylus,low,38,carib
Cayeria Las Cayamas.1,3.220491955,5,5,0,10,2200.829731,384859.2809,0,0,1668465.655,0.133697197,0,eleutherodactylus,low,38,carib
Cayeria Las Cayamas.2,3.872091837,5.514705882,5,-2,16,2200.829731,385729.3052,0,0,3865233.498,0.13440866,0.001006161,eleutherodactylus,low,38,carib
Cayman Brac Island,7.333147598,23.64184921,23,-49,53,25798.13971,158268.1676,1,1,39200085.32,0.157625258,0,eleutherodactylus,low,38,carib
Cayo AlacrÃƒÂ¡n Chico,9.67896084,6.426633785,6,-39,102,6638.136663,344910.3411,0,0,4215199.48,0.127363533,0,eleutherodactylus,low,38,carib
Cayo AlgodÃƒÂ³n Grande,4.129786805,0.026281209,0,-34,5,36069.75915,60917.21714,0,0,3964088.719,0.148161843,0,eleutherodactylus,low,38,carib
Cayo Anclitas,5.900732914,1.78630137,2,-38,24,6311.159141,88435.4034,0,0,1904968.503,0.147817418,0,eleutherodactylus,low,38,carib
Cayo AntÃƒÂ³n Chico,3.909445855,3.053763441,3,-1,7,5571.60488,126074.7988,0,0,1420390.387,0.131281003,0.000941961,eleutherodactylus,low,38,carib
Cayo AntÃƒÂ³n Grande,2.612807936,2.46866485,2,0,7,5571.60488,126442.2524,0,0,1908113.813,0.135133009,0.004723751,eleutherodactylus,low,38,carib
Cayo ÃƒÂvalos,6.066135552,6.19269103,6,0,15,5742.973778,266741.0445,0,0,1568075.821,0.136322774,0.001517172,eleutherodactylus,low,38,carib
Cayo BahÃƒÂ­a de CÃƒÂ¡diz,3.986558923,5.704688909,6,-1,13,6113.416095,236651.1221,0,0,11486129.93,0.128534496,0,eleutherodactylus,low,38,carib
Cayo Balandras,2.209070743,1.41,1,-1,4,3843.258251,24099.28404,0,0,1596579.235,0.146199949,0.000479621,eleutherodactylus,low,38,carib
Cayo Blanco,4.042887824,5.541371158,5,-1,17,4016.256063,278860.1258,0,0,4343794.073,0.138353661,0.00110196,eleutherodactylus,low,38,carib
Cayo Blanquizal,3.602768865,4.972727273,4,0,15,8752.294605,228622.4108,0,0,6810859.328,0.128818572,0,eleutherodactylus,low,38,carib
Cayo Botella,2.746971541,3.330037354,3,-1,11,6756.88383,106925.5374,0,0,23572077.79,0.124150507,0,eleutherodactylus,low,38,carib
Cayo Cabezos,5.468820308,4.557409225,5,-78,45,5230.987125,246324.3484,0,0,5261478.393,0.131640092,0.002712899,eleutherodactylus,low,38,carib
Cayo Campos,11.28508155,5.867088608,7,-338,31,5423.16245,274492.8638,0,0,9049447.143,0.14057337,0.007702257,eleutherodactylus,low,38,carib
Cayo Cantiles,3.893057565,6.4207421,6,-7,17,14666.80117,267565.4194,0,0,39727811.33,0.13084875,0.004094879,eleutherodactylus,low,38,carib
Cayo Coco,2.966433656,6.309907355,6,-13,15,23230.53878,110937.3952,0,0,273981518.5,0.126831224,0.001792185,eleutherodactylus,low,38,carib
Cayo Coco.1,5.07245361,5.606217617,5,-2,27,8627.604568,369214.0215,0,0,4981876.509,0.146755517,0.002213371,eleutherodactylus,low,38,carib
Cayo Coco.2,5.475884175,7.438130156,7,-5,15,5253.967774,284131.8739,0,0,5675449.343,0.142736062,0,eleutherodactylus,low,38,carib
Cayo Coruita,5.79221889,6.332425068,6,-10,27,6418.840458,464270.2773,0,0,1892230.798,0.123093781,0.001626701,eleutherodactylus,low,38,carib
Cayo Cruz,4.142414346,1.829518717,2,-105,73,13439.8877,136341.0268,0,0,24288255.3,0.13564083,0,eleutherodactylus,low,38,carib
Cayo Cruz del Padre,3.754790785,5.4342723,5,-1,11,3327.673311,273472.0027,0,0,2202317.325,0.133985862,0.001552585,eleutherodactylus,low,38,carib
Cayo Cuarto,5.660774951,4.964028777,5,-5,27,19096.77674,363569.5416,0,0,2150029.318,0.132987678,0.001085121,eleutherodactylus,low,38,carib
Cayo de Buenavista,4.397840142,6.055759056,6,-6,14,13472.90999,475904.3388,0,0,12723508.43,0.153764591,0,eleutherodactylus,low,38,carib
Cayo de la Cruz,3.192507148,4.417127072,4,0,8,3502.335268,188132.2451,0,0,1890709.62,0.131703049,0.003042644,eleutherodactylus,low,38,carib
Cayo de la Pipa,4.28244286,4.2899729,4,0,9,10631.63833,357766.1336,0,0,1879027.466,0.12702528,0.005448589,eleutherodactylus,low,38,carib
Cayo de los Indios,11.45772565,6.689376443,7,-114,57,27652.20185,342566.6276,0,0,4535321.738,0.137194984,0.000201072,eleutherodactylus,low,38,carib
Cayo de NavÃƒÂ­o,5.035029564,5.425959781,5,-1,14,8495.812926,318480.0086,0,0,2811416.187,0.12480028,0,eleutherodactylus,low,38,carib
Cayo del Cristo,5.626868507,5.171875,5,-14,11,2530.54146,193038.3866,0,0,2301980.305,0.135811821,0.00879651,eleutherodactylus,low,38,carib
Cayo del MasÃƒÂ­o,3.255750234,6.20043573,6,2,13,9517.725249,281751.1358,0,0,11887418.93,0.125034031,0.002257665,eleutherodactylus,low,38,carib
Cayo del Medio de Marcos,2.739546108,3.103857567,3,0,7,4055.254472,152936.8213,0,0,1753906.653,0.122376148,0.001909152,eleutherodactylus,low,38,carib
Cayo del Rosario,4.030646847,7.033893221,7,-1,51,8303.607243,266311.3041,0,0,17362005.02,0.129420899,0.000921341,eleutherodactylus,low,38,carib
Cayo Diego PÃƒÂ©rez,3.721492773,6.331186259,6,-5,13,9517.725249,275350.0968,0,0,9688166.845,0.128407612,0,eleutherodactylus,low,38,carib
Cayo Divisa de Piedra,4.583589097,8.297709924,8,4,14,7476.027903,271767.241,0,0,1357524.399,0.127943046,0.001346918,eleutherodactylus,low,38,carib
Cayo El Sapo,3.712219637,2.40923825,2,-81,18,8618.050966,104841.7225,0,0,6410554.452,0.126233369,0.001061067,eleutherodactylus,low,38,carib
Cayo Empalizada de Sotavento,3.721042937,4.715950181,4,-11,25,6748.597848,204510.6193,0,0,12880969.02,0.127884105,0,eleutherodactylus,low,38,carib
Cayo Ernest Thaelmann,7.48482131,4.346982759,5,-186,32,11417.38165,254816.8311,0,0,12064926.16,0.132102367,0.005751549,eleutherodactylus,low,38,carib
Cayo Esquivel del Sur,3.66180963,5.865814696,6,-5,46,6234.882876,197916.9671,0,0,11281205.84,0.130752859,0.0028846,eleutherodactylus,low,38,carib
Cayo Estopa,6.322564433,7.272980501,7,-17,28,7476.027903,265371.2297,0,0,1881977.225,0.132415622,0.00014056,eleutherodactylus,low,38,carib
Cayo Fragoso,2.869023881,1.845281616,2,-24,17,21589.95688,134985.4619,0,0,83451244.15,0.122062458,0.000814404,eleutherodactylus,low,38,carib
Cayo FrancÃƒÂ©s,7.995519336,7.302344382,7,-29,56,4219.577484,117541.3466,0,0,6403057.903,0.130010353,0.005992399,eleutherodactylus,low,38,carib
Cayo Galindo,3.621409048,5.019431146,5,-18,27,3327.673311,271409.0329,0,0,18327799.15,0.13247633,0,eleutherodactylus,low,38,carib
Cayo GenovÃƒÂ©s,4.442114579,4.763687151,4,-64,23,5956.839602,263258.1608,0,0,9247531.21,0.13571171,0.001178135,eleutherodactylus,low,38,carib
Cayo Grande,5.168201384,3.564891519,3,-43,14,9808.526795,77486.47109,0,0,13328614.35,0.14875034,0.011807326,eleutherodactylus,low,38,carib
Cayo Grande.1,2.698221139,2.31420765,2,-2,10,3978.522353,72493.10651,0,0,3824906.474,0.152384868,0.01939982,eleutherodactylus,low,38,carib
Cayo Grande.2,4.83054383,2.246049661,2,-9,10,3978.522353,72318.66346,0,0,2383435.652,0.157655095,0.025390938,eleutherodactylus,low,38,carib
Cayo Grande.3,6.428061323,8.263157895,8,0,16,6134.424937,326973.6702,0,0,1996853.197,0.129496505,0.004460412,eleutherodactylus,low,38,carib
Cayo Grande.4,6.128485911,8.310240964,8,1,15,6134.424937,332734.529,0,0,3419264.817,0.126152534,0.002900182,eleutherodactylus,low,38,carib
Cayo Grande.5,11.70341058,8.537953795,9.5,-66,131,6638.136663,338496.5951,0,0,3134632.225,0,0,eleutherodactylus,low,38,carib
Cayo Guajaba,4.039728112,4.259522717,3,-114,309,9741.074429,148731.2296,0,0,90699469.25,0.133509566,0.003121148,eleutherodactylus,low,38,carib
Cayo Guanal,6.83950517,2.35725429,2,-17,74,9016.963891,125461.3791,0,0,3308794.432,0.137312472,0.00571714,eleutherodactylus,low,38,carib
Cayo Guao,2.717897456,1.991596639,2,-1,6,5329.70907,155948.4948,0,0,1876282.722,0.133693308,0.000401343,eleutherodactylus,low,38,carib
Cayo GuÃƒÂ¡simas,3.087125337,2.006734007,2,0,7,5080.870931,19290.89169,0,0,1551781.336,0.144714855,0.001091783,eleutherodactylus,low,38,carib
Cayo Guillermo,3.287427862,3.858082381,3,-4,14,6756.88383,113170.9848,0,0,14966654.59,0.124933653,0,eleutherodactylus,low,38,carib
Cayo GÃƒÂ¼incho,2.948787776,2.581818182,3,0,5,19438.35963,140728.7648,0,0,1430393.195,0.143370129,0.000589118,eleutherodactylus,low,38,carib
Cayo GuzmÃƒÂ¡n,4.383618823,5.31875,5,0,12,5284.394555,393285.9012,0,0,3341265.067,0.131471798,0.000138747,eleutherodactylus,low,38,carib
Cayo Hachuela,5.960636139,4.925589837,5,-26,37,1981.755785,182919.3522,0,0,2873997.859,0.129763734,0.003144597,eleutherodactylus,low,38,carib
Cayo Hicacos,8.113799038,5.871271586,6,-59,11,4108.085059,275928.7953,0,0,3329399.676,0.138286874,0.005269578,eleutherodactylus,low,38,carib
Cayo Iguana,2.494962917,2.970845481,3,-1,8,5959.912122,110943.8607,0,0,5308302.256,0.127581105,0.003800142,eleutherodactylus,low,38,carib
Cayo Iguana.1,2.822592653,4.261612022,4,1,13,2530.54146,192132.5279,0,0,7584094.451,0.128158823,0,eleutherodactylus,low,38,carib
Cayo InÃƒÂ©s de Soto,41.10643428,11.49887892,8,-1560,640,3089.082741,469707.346,0,0,4612726.067,0.125889778,0.002563693,eleutherodactylus,low,38,carib
Cayo Juan RuÃƒÂ­z,9.918503269,7.437037037,7,-6,76,29689.01966,311004.1099,0,0,2097988.318,0.123765588,0,eleutherodactylus,low,38,carib
Cayo Judas,2.737668074,3.625421822,3,-2,15,28710.95766,96036.53013,0,0,9194054.227,0.143270075,0.005526889,eleutherodactylus,low,38,carib
Cayo Jutias,6.639255854,7.504098361,7,-1,23,12527.93669,475354.3183,0,0,1272891.968,0.136779279,0,eleutherodactylus,low,38,carib
Cayo La Aguada,3.920065905,4.718535469,5,0,9,5143.071659,102662.9181,0,0,2261549.903,0.126411352,0.002769538,eleutherodactylus,low,38,carib
Cayo La AlegrÃƒÂ­a,3.531463172,2.223533751,2,-13,45,4700.132557,140869.457,0,0,14028361.2,0.129760265,0,eleutherodactylus,low,38,carib
Cayo La Potala,3.621393075,3.766851339,3,-35,54,4219.577484,113497.3039,0,0,11189178.14,0.126834693,0.003576151,eleutherodactylus,low,38,carib
Cayo La Yana,4.011991279,5.939278937,6,-1,11,8084.259308,217369.2548,0,0,2689956.026,0.125762607,0.001602638,eleutherodactylus,low,38,carib
