"","var_import"
"area",1
"dist_occ_islands",1
"n_habitat",1
"TRI",0.980852869559465
"dist_mainland",0.472031067458457
"max_elev",0.430215548829403
"Nearest_Dist",0.355817747316921
"sd_csi",0.241955314365145
"mean_csi",0.181563330090476
