"","names","estimate","lower","upper"
"Nearest_Dist","Nearest_Dist",0.573314533801947,0.302591447517291,0.844037620086604
"mean_csi","mean_csi",0.231032300175877,-0.063812230266731,0.525876830618485
"n_habitat","n_habitat",0.279151137362804,0.222612594943755,0.335689679781853
"dist_mainland","dist_mainland",0.997335672641093,0.468604173798513,1.52606717148367
"dist_occ_islands","dist_occ_islands",-0.867935926956235,-1.34278077310664,-0.393091080805831
"area","area",0.431204670171173,-1.63913796208953,2.50154730243188
"TRI","TRI",0.0679412765020203,-0.195708994422095,0.331591547426136
"max_elev","max_elev",0.0630928835961704,-0.252066877628092,0.378252644820433
"sd_csi","sd_csi",-0.00422184715680947,-0.300644585504038,0.292200891190419
