name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Marielas Sur,2.228519281,-10.66666667,-11,-11,-10,0.139254212,NA,1,galap
Mosquera,9.401723165,3.384615385,2,1,7,0.113740511,NA,2,galap
Muelle,10.25092338,3.416666667,3,-5,10,0.135821447,0.000192421,1,galap
Noroeste de Santa Fé,15.29705811,3,3,3,3,0.107894838,NA,1,galap
Norte de Wolf,21.61196943,12.92307692,13,3,20,0.18224968,NA,1,galap
Oeste,8.774964333,3,3,3,3,0.148265928,NA,1,galap
Onan,27.66742554,7,5,-2,19,0.13576819,NA,1,galap
Osborn,7.044222832,3,2,0,7,0.148265928,NA,2,galap
Pináculo de Wolf,67.54062653,-41,-41,-43,-39,0.18224968,NA,1,galap
Pinta,28.64550413,172.7404841,128,-97,630,0.232972001,0.003244833,7,galap
Pinzón,46.82150366,190.0009699,181,-10,451,0.129259989,NA,6,galap
Pitt (nearshore),11.70469952,-2,-2,-2,-2,0.184763387,NA,1,galap
Pitt (offshore),8,11,11,11,11,0.107694685,NA,1,galap
Plaza Norte,10.35404703,3.846153846,4,0,10,0.120433442,NA,3,galap
Plaza Sur,11.20137723,4.428571429,5,-2,12,0.131849063,0.020498207,3,galap
Punta Bowditch Este,5.864474297,1.5,1.5,1,2,0.115720965,NA,2,galap
Punta Bowditch Norte,11.16321407,9.714285714,10,8,12,0.115720965,NA,1,galap
Punta Bowditch Sur,5.643551111,5.5,5.5,5,6,0.115720965,NA,1,galap
Punta Mangle Norte,12.11986303,0.5,0.5,-1,2,0.135209531,NA,1,galap
Punta Mangle Sur,16.48280191,14.75,15,12,17,0.135209531,NA,1,galap
Rabida,62.397596,141.6627771,130,5,343,0.125556799,0.01843358,4,galap
Rabida.1,26.72077751,14,14,14,14,0.150009811,NA,1,galap
Rata,3.872983456,0,0,0,0,0.150340855,NA,1,galap
Redonda,24.2831316,18,18,17,19,0.135735795,0.002771113,1,galap
San Cristobal,13.40334824,142.0904041,92,-115,713,0.207429454,0.005613187,16,galap
