name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Cayo Paredón Grande,3.238623349,2.236242357,2,-34,13,0.130011261,NA,6,carib
Cayo Piedra del Obispo,5.590744073,5.075647668,5,-44,25,0.129538029,NA,6,carib
Cayo Piedra Grande,29.88978226,-0.399193548,2,-151,35,0.176054284,0.036492343,4,carib
Cayo Providencia,14.62717599,3.075949367,3,-42,64,0.147612959,NA,7,carib
Cayo Pueblo Viejo,5.688974586,2.400440044,2,-76,31,0.128911311,0.004298292,4,carib
Cayo Puerco,4.830263245,8.138392857,9,2,13,0.137092799,NA,10,carib
Cayo Punta de los Machos,2.536561566,1.361904762,1,-1,5,0.146269068,0.001219726,7,carib
Cayo Punta Iguna,5.486633075,2.390365449,2,-20,11,0.146432251,0.00103991,6,carib
Cayo Punta Tierra del Guzmán,3.26406584,3.677894737,4,0,8,0.13025631,0.001857707,6,carib
Cayo Quitasol,4.061689228,4.13963964,4,-1,14,0.127100565,0.000140149,5,carib
Cayo Rabihorcado,5.731165776,7.305019305,7,0,14,0.142629415,0.000150822,8,carib
Cayo Rancho de Cándido,3.9885691,3.621428571,3,-3,25,0.12499488,0.004342432,4,carib
Cayo Rapado Chico,8.027568971,9.16080402,9,0,18,0.143331386,0.00305787,7,carib
Cayo Rapado Grande,6.626066908,9.335203366,9,-13,21,0.139563362,0.002394633,7,carib
Cayo Real,5.405952504,7.303402119,7,1,14,NA,NA,5,carib
Cayo Redondo,6.025908879,6.332706767,6,-3,18,0.127068537,0.003455657,7,carib
Cayo Redondo.1,9.605765963,8.985347985,9,-11,45,0.123584863,0.001253252,5,carib
Cayo Rico,4.090482042,6.205970149,6,-20,11,NA,NA,5,carib
Cayo Romano,3.886224992,3.281570307,3,-124,126,0.138057153,0.006213526,7,carib
Cayo Salinas,23.6228262,6.655063291,3,-23,289,0.127574816,NA,10,carib
Cayo San Juan,4.029778716,5.447187141,6,-2,31,0.139748295,0.000157738,10,carib
Cayo San Juan.1,4.624585457,6.299741602,7,0,11,0.141719058,0.002749197,5,carib
Cayo Santa Maria,3.7682467,5.435533217,5,-23,24,0.126338527,NA,6,carib
Cayo Sifonte,3.22891776,1.897019992,2,-6,18,0.134034398,0.003285388,6,carib
Cayo Tío Pepe,3.419825685,3.534604227,3,-10,12,0.126986489,NA,17,carib
Cayo Traviesa,4.710483334,7.401826484,7,2,13,0.126043888,0.002499481,7,carib
Cayo Tumba la Olla,3.109354648,6.170232558,6,0,12,0.127680019,NA,6,carib
Cayos Aguardiente,5.812898294,6.909774436,7,-30,34,0.136329107,0.002010849,6,carib
Cayos Aguardiente.1,5.619101134,6.713846154,7,1,45,0.13645231,0.002083371,11,carib
Cayos Blancos,4.596320789,4.88,4,-3,13,0.139982246,0.000315016,10,carib
Cayos Boca de Alonso,4.194683797,6.955488332,7,0,14,0.140948451,0.003642766,9,carib
Cayos Cinco Balas,2.680514744,1.422131148,2,-7,4,0.142489292,0.011390217,6,carib
Cayos Cinco Balas.1,2.939208066,2.837974684,2,0,8,0.138568565,0.005845473,7,carib
Cayos Cinco Balas.2,3.010506223,2.593457944,2,-1,7,0.142634958,0.00054989,5,carib
Cayos Cinco Balas.3,2.673812729,2.417927171,2,-7,15,0.142246127,NA,5,carib
Cayos de la Enfermeria,6.618339715,7.602272727,7,-19,21,0.125874639,NA,5,carib
Cayos de la Herradura,3.7733159,3,3,-1,23,0.134524938,0.005923385,7,carib
Cayos de las Cinco Leguas,3.036935975,6.23126615,6,1,12,0.136045389,4.34E-05,4,carib
Cayos de San Felipe,6.663882462,6.844243792,7,-54,21,0.146842152,0.0024328,5,carib
Cayos Dromedarios,2.834454589,4.853375527,5,0,13,0.128399167,0.000932045,6,carib
Cayos Falcones,3.78096616,4.238267148,4,-5,11,0.12962231,0.001426945,6,carib
Cayos Jutias,3.917934818,5.329020333,5,-4,12,0.130863786,0.005181765,5,carib
Cayos los Cayuelos,8.378208782,8.78111588,9,0,14,0.140705943,0.002524723,6,carib
Cayos Pajonal,2.602387363,0.839491917,1,-2,11,0.124600785,0.004825916,8,carib
Cayos Pingues,3.008330865,1.720994475,2,-4,6,0.147167578,NA,7,carib
Chacachacare,97.35127157,80.95198903,74,-548,469,0.166770957,0.000166385,6,carib
Coakley Cay,4.919699328,4.317725753,4,-7,12,0.135671601,0.004455133,7,carib
Compass Cay,6.959411841,8.031894934,7,-3,21,0.128111571,NA,5,carib
Conception Island,5.314658572,3.67918858,3,-9,19,0.159791853,0.015841589,5,carib
Conch Cay,6.077834095,3.348958333,3,-4,29,0.148763314,0.012420339,5,carib
Cooper,50.86233928,42.05454545,30,-1,146,0.170661464,0.033695634,6,carib
Cotton Cay,9.532026808,11.48672566,11,-14,24,0.151530489,0.010404125,5,carib
Cotton Cay.1,5.053939894,5.649038462,6,-6,12,0.182794347,NA,6,carib
Crooked,2.427009045,2.897959184,3,0,7,0.141107445,0.002293178,8,carib
Crooked Island,4.349596831,5.123704173,4,-37,135,0.147560935,0.013933021,8,carib
Cross Cays,3.25683076,-0.326848249,0,-6,3,0.175111026,NA,4,carib
Cuba,11.43179574,104.4066121,54,-1955,2140,0.148799694,0.016376015,6,carib
Culebrita,24.69383896,16.14141414,11,0,67,0.139387235,NA,6,carib
Current Island,8.000439645,8.811269147,9,-94,114,0.125691786,NA,3,carib
Darby Island,8.770839611,9.611374408,9,-17,25,0.141373172,NA,9,carib
de Culebra,32.59214643,44.71408975,38,-5,190,0.151273988,0.000303194,18,carib
Dellis Cay,2.589468776,3.753180662,4,1,7,0.214831099,NA,7,carib
Desecheo,71.50004547,71.15315315,65,1,185,0.236400515,NA,30,carib
Dilly Cay,10.05249691,5.389121339,5,-36,12,0.168848082,0.000779632,5,carib
Dog Island,11.29661024,12.31,10,-4,32,0.143318847,0.001231952,10,carib
Dominica,63.43986238,353.9854734,318,-181,1419,0.160306494,0.010332226,7,carib
East Caicos,3.528957049,5.976442346,5,-18,85,0.171624044,0.003862953,11,carib
East Caicos.1,4.027382895,3.898617512,4,-12,7,0.195740379,0.027861859,5,carib
Elbow Cay,7.565508105,9.146732429,8,0,26,0.151520482,0.019069266,5,carib
Eleuthera,6.587061192,11.87394839,10,-225,125,0.130428549,0.009317518,8,carib
Flamingo Cay,7.694795881,6.711442786,5,-1,27,0.133803971,0.003474302,4,carib
Frazer?s Hog Cay,5.126919678,4.987425546,4,-12,15,0.148679319,0.021331879,17,carib
Gaspar Grande,39.82434692,42.307393,39,2,98,0.172241092,0.000817881,14,carib
Ginger,54.0964829,42.03092784,37.5,3,119,0.150668636,NA,7,carib
Gold Cay,2.840360546,4.916883117,5,0,7,0.137118824,0.007336428,10,carib
Gorda Cay,8.484695335,3.225840336,3,-166,21,0.153722093,0.020980422,18,carib
Grand Bahama,2.791622245,4.283787192,4,-132,111,0.183321421,0.007080766,5,carib
Grand Bahama.1,3.034172676,2.303797468,2,-14,9,0.187535658,NA,11,carib
Grand Bahama.2,2.526821276,2.093851133,2,0,12,0.187535658,NA,6,carib
Grand Bahama.3,2.177284187,2.414545455,2,0,6,0.186941087,0.000840851,5,carib
Grand Bahama.4,4.359220078,3.787513691,3,-13,90,0.186706002,0.000720632,6,carib
Grand Bahama.5,2.174946203,1.35046729,1,-1,4,0.191660747,0.005210278,14,carib
Grand Bahama.6,1.976033095,1.27826087,1,-1,5,0.196822524,NA,21,carib
Grand Cay,2.613288081,0.835025381,1,-5,5,0.195031099,0.008227623,8,carib
Grand Cayman,4.5786522,6.787415543,6,-122,71,0.160810108,0.005709894,9,carib
Grand Turk,5.892085547,7.072887124,6,-9,27,0.178006597,0.001312463,9,carib
Grande Cayemite,16.61113297,81.14490598,72,-55,371,0.185965583,0.004791106,10,carib
Great Abaco,5.28627325,5.080559269,5,-722,141,0.151446967,0.02276525,7,carib
Great Abaco.1,93.03980266,-24.4254386,0,-243,3,0.095318109,NA,9,carib
Great Abaco.10,41.58866606,-7.058639562,0,-490,6,0.106415961,0.002978563,9,carib
Great Abaco.11,14.17905011,-1.475247525,0,-106,5,0.108516224,0.000593333,13,carib
Great Abaco.12,44.95529221,-8.413793103,0,-175,2,0.110515784,0.002234473,9,carib
Great Abaco.13,23.82854475,-0.707089552,2,-185,60,0.186430564,0.007547457,12,carib
Great Abaco.14,6.791475127,-0.679802956,0,-27,2,0.113021195,NA,25,carib
Great Abaco.15,18.69609527,1.045226131,1,-1,3,0.184374787,0.009411212,5,carib
Great Abaco.16,52.32868196,-4.411326379,1,-706,65,0.151562657,0.055814571,8,carib
Great Abaco.17,7.985659092,-0.387464387,0,-48,3,0.111248359,NA,8,carib
Great Abaco.18,12.63604384,1.873188406,1,-54,41,0.14446054,0.045770661,9,carib
Great Abaco.19,24.06510157,-1.728110599,0,-49,21,0.182961904,0.001840732,6,carib
Great Abaco.2,126.1839743,-19.65957447,0,-510,9,0.097139843,0.001578771,10,carib
Great Abaco.3,4.278052405,0.271293375,1,-18,4,0.097825892,NA,5,carib
Great Abaco.4,105.8795462,-23.86624204,0,-635,2,0.14917185,0.037427169,9,carib
Great Abaco.5,73.11922649,-17.02583026,0,-544,41,0.100174736,0.002920381,9,carib
Great Abaco.6,64.02504363,-16.02103787,0,-481,25,0.100736412,0.004898272,9,carib
Great Abaco.7,57.28290128,-2.095833333,1,-195,69,0.102239758,NA,8,carib
Great Abaco.8,73.16408438,-23.29756098,0,-355,4,0.104315698,0.002935823,5,carib
Great Abaco.9,150.7785731,-29.89090909,0,-621,130,0.104315698,0.002935823,10,carib
Great Camanoe,51.64138415,62.76517572,58,2,158,0.148393512,0.005334737,5,carib
Great Exuma,4.733856804,7.057833343,6,-9,33,0.13568929,0.008816214,7,carib
Great Exuma.1,3.803385821,2.733215548,2,-2,13,0.132176124,0.000314447,11,carib
Great Exuma.2,4.007460981,3.878787879,4,-1,8,0.158996224,NA,7,carib
Great Exuma.3,7.225544039,2.9,3,-17,6,0.138248734,0.009430452,5,carib
Great Goat Island,16.2545655,21.37077535,9,-124,100,0.156546988,0.002999876,8,carib
Great Guana Cay,5.937660806,5.475499093,5,-4,18,0.16614221,NA,13,carib
Great Guana Cay.1,8.983916626,10.95154723,10,-23,37,0.140915804,0.001156014,14,carib
Great Inagua,2.558214023,5.261889805,5,-52,47,0.173397847,0.007946515,11,carib
Great Sale Cay,2.709802149,1.376417234,1,-11,8,0.19004308,0.005512014,10,carib
Great Stirrup Cay,12.41582245,8.60251046,8,-29,20,0.13506487,0.005555608,6,carib
Great Thatch,66.13259308,57.53694581,45,1,174,0.144412197,0.004176426,7,carib
Green Cay,6.433462942,7.375,7,-6,24,NA,NA,12,carib
Green Turtle Cay,6.636341619,4.492903226,5,-24,17,0.175829757,0.004643367,9,carib
Green Turtle Cay.1,3.458692168,3.746268657,3,0,14,0.132398471,NA,17,carib
Grenada,41.51912288,210.1068008,163,-1416,815,0.14356314,0.005059517,10,carib
Guadeloupe,27.31520693,187.5915404,60,-259,1454,0.149762074,0.008819516,8,carib
Guana,60.83179203,75.87295826,61,2,225,0.149438009,NA,5,carib
Halls Pond Cay,7.2735533,8.664921466,9,-19,17,0.129237503,0.005500037,7,carib
Hans Lollik,57.64292232,76.16981132,64,3,209,0.145146251,0.001061511,15,carib
Harbour Island,9.441972919,15.99454545,16,-4,33,0.123798735,0.004260319,9,carib
Hawksbill Cay,5.592471858,7.759786477,7.5,1,17,0.120408949,3.00E-05,20,carib
High Ridge Cay,5.583711526,5.049446494,5,-30,60,0.13613607,NA,20,carib
Highbourn Cay,15.89065077,10.97716895,10,-36,57,0.135106266,0.005207517,8,carib
Hispaniola,32.24085429,407.2247465,248,-3233,3673,0.182384365,0.024986904,7,carib
Hoffman Cay,7.385497231,7.893617021,8,0,18,0.131006973,0.009222235,4,carib
Hog Cay,7.739455665,6.962894249,5,-9,24,0.174426548,0.004819423,11,carib
Hog Cay.1,3.153520454,3.219730942,3,-1,7,0.138218731,NA,6,carib
Hog Cay.2,6.090903908,7.172351885,7,1,19,0.145715415,NA,12,carib
Île à Vache,8.25486436,11.84593968,8,-11,66,0.197588623,0.007916968,7,carib
Île Corny,30.09579593,29.14285714,28,-14,67,0.165541217,NA,34,carib
Île de la Gonâve,20.44526398,218.6917146,180,-59,772,0.179501356,0.011099006,7,carib
Île Grosse Caye,35.05486326,37.86323529,29,-3,135,0.195084319,NA,7,carib
Île Saint-Barthélemy,45.41699251,66.78657343,56,-11,259,0.15404284,NA,5,carib
Îlet à Fajou,3.471752127,4.242718447,4,0,7,0.144257568,0.001189605,6,carib
Isla Beata,6.866348836,35.05910135,32,-11,86,0.149269797,0.015310085,8,carib
Isla Catalina,8.922889481,3.741019699,2,-73,19,0.14103061,NA,6,carib
Isla Saona,4.917406631,8.210579907,6,-341,427,0.133861336,0.000532297,16,carib
Jackson's Cay,3.516167163,0.892430279,1,-5,9,0.178325802,NA,12,carib
Jamaica,33.04495993,323.2110398,269,-584,2244,0.191963617,0.016847838,26,carib
Jewfish Cay,4.912686413,6.452261307,6,1,14,0.15052399,0.01578684,5,carib
Jost Van Dyke,98.52701322,121.5031847,109,-338,3318,0.155797392,0.013950205,11,carib
Joulter Cays,2.795329726,5.054896142,5,0,13,0.127695084,0.002232537,8,carib
Joulter Cays.1,3.688216885,5.698924731,6,0,10,0.128399849,NA,8,carib
Juventud,4.378728457,19.72234163,14,-310,303,0.140307729,0.007926954,18,carib
La Désirade,40.26842892,120.5564948,110,1,282,0.143871769,NA,13,carib
Las Picus,3.562654145,4.103274559,4,-1,13,0.128580992,0.001551578,5,carib
Lee Stocking Island,14.05277295,9.336814621,9,-44,48,0.133284216,0.000891802,7,carib
Lightbourn?s Cay,2.678465158,1.927704485,2,-4,14,0.174663231,NA,13,carib
Linder Cay,3.171994383,4.882602546,5,-6,14,0.124988405,0.000302982,8,carib
Little Ambergris Cay,2.479865388,2.360780985,2,-2,5,0.212556779,0.040549304,9,carib
Little Bells Cay,8.679349221,7.61637931,7,-13,22,0.131831537,0.004870945,7,carib
Little Cave Cay,2.808545571,0.279891304,0,-3,5,0.174672499,0.000533326,11,carib
Little Cayman,5.286130309,6.527787674,7,-281,43,0.15998143,0.007938148,8,carib
Little Exuma,4.797394102,5.50629479,5,-7,22,0.130229473,NA,13,carib
Little Harbour Cay,9.454465583,14.09361702,14,1,25,0.131561197,0.003188525,6,carib
Little Inagua,2.58765233,7.681367319,7,-5,27,0.17624123,0.005001439,7,carib
Little Joe Downer Cay,3.341454256,1.06,1,-9,4,0.174232036,NA,5,carib
Little Ragged Island,3.862115779,4.170320405,4,-1,11,0.181325674,0.009045559,4,carib
Little San Salvador,7.607482729,7.713402062,7,-28,25,0.135956917,0.006802647,10,carib
Little Tobago,66.24528124,62.25943396,61,5,126,0.148096949,0.008879856,7,carib
Little Water & Pine Cay,4.11049778,4.73592233,5,-65,9,0.19463366,0.032394245,11,carib
Long,5.559374601,8.334490184,6,-312,150,0.137590059,0.008040771,17,carib
Long Cay,5.939269116,4.105463502,4,-73,60,NA,NA,4,carib
Long Cay.1,2.450416509,2.006263048,2,-1,6,0.172335379,0.000264566,10,carib
Long Cay.2,3.597198128,4.383495146,4,-2,7,0.128609553,0.002522657,8,carib
Long Island,7.474090378,6.286919831,6,-10,16,0.136461139,5.95E-05,5,carib
Long.1,3.599960428,2.620805369,3,-4,8,0.148380379,0.010988439,2,carib
Long.2,3.791533916,2.396991498,2,-23,41,0.165373564,NA,7,carib
Long.3,5.52979084,1.973790323,2,-40,8,0.165965423,NA,7,carib
Long.4,3.00894031,2.357512953,2,-4,8,0.160083542,0.005109792,8,carib
Los Conucos,4.85672599,4.7752443,5,-43,24,0.126202121,0.001329817,8,carib
Lubbers Quarters,8.445129513,10.98615917,10,1,26,0.15745781,0.014989549,6,carib
Lynyard Cay,5.97281787,6.253731343,6,-1,12,0.15231251,0.006006147,6,carib
Madiera Cay,4.381546171,4.600840336,4,-3,56,0.125947282,0.000494656,8,carib
Man o? War Cay,4.356001937,3.288265306,3,0,13,0.191136822,0.005770972,10,carib
Mangrove Cay,2.368715882,1.609756098,2,-1,4,0.138255149,NA,8,carib
Mangrove Cay.1,5.199221734,2.678414097,3,-24,18,0.215319782,NA,4,carib
Margaret Cay,3.139681228,2.251748252,2,-1,7,0.159019619,NA,4,carib
Marie Galante,17.37124943,84.45059648,89,-617,234,0.145832055,0.004227346,14,carib
Martinique,37.26194068,186.3597992,122,-80,1379,0.175609334,0.007378194,22,carib
Mayaguana,3.728606618,7.784713537,7,-237,58,0.163585502,0.008301286,16,carib
Maycock Cay,7.011650639,5.24291498,5,-12,14,0.165404812,0.009030026,4,carib
Mayreau,32.0300961,32.76291793,28,3,93,0.160217389,NA,7,carib
Michael's Cay,3.120686658,1.426179604,2,-7,6,0.172149318,0.005384624,13,carib
Middle Bight Cay,3.615785608,5.094701536,5,-77,76,0.129163543,0.005344385,16,carib
Middle Caicos,2.935337251,5.767885188,5,-34,46,0.168610739,0.002779862,14,carib
Mona,6.100725651,49.38745598,56,-7,81,0.147178113,0.016378756,8,carib
Monos,74.76309706,90.29712859,79,-2,267,0.169093996,NA,5,carib
Montserrat,54.09852374,230.2657076,193,-510,892,0.155105761,0.006485299,18,carib
Moore?s Island,3.468890148,3.73399459,3,-31,21,0.161538377,NA,12,carib
Moriah Harbour Cay,2.731249431,2.778145695,3,-2,8,0.136234174,0.004250333,9,carib
Mustique,32.17181437,38.1102439,31,-20,139,0.166610919,0.000282626,12,carib
Navassa,19.78721746,55.57334826,63,6,85,0.221327752,NA,5,carib
Nevis,28.78473834,158.4899234,110,-4,964,0.1549997,0.006518175,15,carib
New Providence,4.018272988,8.002517173,7,-20,39,0.138910756,0.002111449,15,carib
Norman,48.11365372,39.43125,35,1,107,0.150767557,0.007007472,6,carib
Norman?s Cay Island,9.099525922,7.492857143,7,-11,25,0.124846578,NA,6,carib
Norman?s Pond Cay,14.69052385,6.309677419,7,-50,22,0.140784636,0.011400006,6,carib
North Andros,4.092530714,5.682448531,5,-101,124,0.132199792,0.004577728,19,carib
North Bimini,9.242264802,7.434763181,8,-127,54,0.150811315,NA,9,carib
North Caicos,3.246102294,5.829019588,4,-74,50,0.176299411,0.016366664,16,carib
North Caicos.1,4.495144679,4.24497992,4,-2,13,0.166778602,0.000690882,6,carib
North Caicos.2,3.725494589,4.121611446,4,-92,10,0.172431993,0.003499736,7,carib
Nun Jack Cay,4.854268039,4.2,4,-2,16,0.176037274,0.005130013,10,carib
Nurse Cay,7.185292038,7.552238806,7,-1,20,0.160649806,0.006638529,5,carib
Old Yankee Land,2.649535383,1.1275,1,-6,5,0.18710462,0.007533654,9,carib
Paradise Island,6.392716108,9.055555556,9,2,20,0.156086866,0.021778976,5,carib
Parrot Cay,3.87417183,3.900271985,4,-14,26,0.193306789,0.030439971,10,carib
Peter,53.38198096,52.86248492,44,0,148,0.167606011,0.029001242,6,carib
Petite Cayemite,21.37015431,24.38938053,20.5,-10,66,0.15820162,NA,7,carib
Petite Martinique,38.29021691,58.44946809,48.5,2,187,0.148526683,NA,7,carib
Pine Cay,2.985394566,4.292759706,4,-7,15,0.141638279,0.009314018,12,carib
Pine Tree Cay,3.489135662,4.001879699,4,-7,7,0.156448469,0.001653884,9,carib
Pineros,17.19796775,14.13095238,10,0,68,0.158085093,0.00662029,6,carib
Pipe Cay,7.488212182,7.372881356,7,-4,43,0.127026275,0.001534841,7,carib
Plana Cays,5.286123131,4.606275903,5,-126,27,0.13729459,NA,4,carib
Plana Cays.1,6.963605556,5.862937063,6,-89,21,0.142918105,0.001849937,4,carib
Pot Cay,4.900549396,4.11369509,4,-7,33,0.136188373,NA,6,carib
Powell Cay,5.467499411,4.057761733,3,-8,14,0.174315721,NA,6,carib
Providenciales,5.412574588,9.415077948,8,-40,96,0.201123539,0.019449134,15,carib
Puerto Rico,34.55830356,234.6970358,162,-148,1310,0.172764385,0.015433175,25,carib
Raccoon Cay,10.89685997,8.708333333,7,-110,45,0.169058792,0.004082101,7,carib
Ragged Island,5.562521031,6.113973799,4,-78,33,0.168398619,NA,11,carib
Randalls Cay,3.797256517,2.659340659,2,-4,11,0.181440286,0.001706579,11,carib
Reids Cay,3.269633287,4.289421158,4,-1,8,0.156448469,0.001653884,9,carib
Ronde Island,46.6996284,50.92043011,45,4,148,0.168393321,0.031987235,8,carib
Rose,24.10971777,10.7690583,11,-132,116,0.14100047,0.001554142,7,carib
Royal Island,9.486492302,10.5212766,10,-1,21,0.135627583,0.011103957,6,carib
Rudder Cut Cay,35.4729394,7.114006515,8,-145,128,0.134650146,0.005849922,6,carib
Rum Cay Island,6.41577882,6.758791418,6,-123,118,0.151262239,0.006583507,13,carib
Russel Island,6.501205096,9.6937046,9,-3,26,0.130339065,0.00872243,9,carib
Saba Island,93.20002274,276.4450867,249,-7,844,0.152771488,NA,10,carib
Saint Lucia,43.64356382,166.9432189,137,-143,902,0.16904182,0.00577596,18,carib
Saint Martin/Sint Maarten,35.59363223,63.50017866,32,-6,415,0.150344573,0.010615728,19,carib
Salt Cay,4.523914001,5.930414386,6,-4,22,0.212630007,0.032436706,5,carib
Samana Cay,5.13166129,7.585182917,7,-125,121,0.171017837,0.008159501,4,carib
Sampson Cay,21.96998838,1.553977273,3,-46,31,0.128157109,0.005443202,6,carib
San Salvador,5.55798105,8.572586688,8,-103,43,0.140514963,0.007848852,17,carib
Scotland Cay,12.44717724,5.884758364,5,-38,30,0.145279221,0.007256349,8,carib
Scrub Island,6.106297693,8.172307692,7,1,24,0.144739042,0.002807263,6,carib
Ship Channel Cay,8.936073817,7.319218241,7,-14,21,0.132299505,0.009852152,6,carib
Shroud Cay,3.043891645,4.76340694,5,1,11,0.124829955,0.006282209,4,carib
Shroud Cay.1,3.904991029,6.119354839,6,-4,13,0.120387763,NA,11,carib
Sint Eustatius,46.13842961,114.7848882,84,-1,572,0.152127981,NA,12,carib
South Andros,3.075266814,5.556310538,5,-41,70,0.128073437,0.003090066,16,carib
South Bimini Cay,5.397450534,9.762198888,10,-1,20,0.156763059,0.01448212,12,carib
South Caicos,5.428768797,7.885920578,7,-6,45,0.174920529,NA,8,carib
Spanish Wells,3.996113817,4.023255814,4,-46,62,0.132042542,NA,11,carib
St Kitts,39.60837439,213.1948205,135,-69,1110,0.157587202,0.008765771,20,carib
St Vincent,56.01954849,325.8426679,272,-33,1196,0.177086291,0.012070143,16,carib
St. Croix,24.84318098,60.07064738,40,-29,344,0.159452449,0.012359877,15,carib
St. John,57.68697408,104.9073052,80,-4,377,0.1556217,0.027235262,14,carib
St. Thomas,46.60870227,101.3720487,76,-10,461,0.16469397,0.005358906,17,carib
Staniel Cay,8.236573107,9.558404558,9,-9,22,0.132872954,0.010100113,6,carib
Stocking Island,9.934513436,5.046979866,4,-52,45,0.135226414,0.004794557,7,carib
Strangers Cay,5.694155153,3.128712871,2,-3,13,0.189337949,0.004809863,9,carib
Sweetings Cay,2.267623413,1.073001159,1,-2,6,0.176786557,0.001899861,13,carib
Terre-de-Bas,49.16155986,103.7232355,84,1,290,0.149875388,NA,4,carib
Terre de Bas,15.81388932,5.148148148,5,-28,37,0.138159327,0.00303471,9,carib
Terre de Haut,53.65630741,53.10340776,35,0,282,0.144711692,0.004739759,9,carib
The Bahamas,6.045149492,-0.81443299,0,-24,5,0.183725175,0.00103785,10,carib
The Bahamas.1,2.105341484,0.331707317,0,-2,3,0.189051934,0.000146913,9,carib
Tilloo Cay,8.423214603,7.963087248,8,-9,16,0.146444246,0.015465849,8,carib
Tintamarre,10.73707809,13.23275862,11,2,35,0.141449377,0.000456703,4,carib
Tobago,37.72954043,174.0525077,151,-256,572,0.157081009,0.00234846,18,carib
Top Cay,2.828566941,1.503289474,1,-7,12,0.158927426,NA,7,carib
Tortola,60.83379692,140.622464,117,-3,522,0.166638672,0.018242149,18,carib
Tortue,23.07967314,142.2502553,142,-138,354,0.218253149,0.011170526,17,carib
Trinidad,19.04839943,83.91836493,47,-435,939,0.166803133,0.005455208,22,carib
Turks and Caicos,10.53524774,8.539473684,7,1,24,0.188895931,0.0226842,6,carib
Union,52.59161474,66.44045369,49,-3,272,0.151559263,NA,10,carib
Upper Sandy Harbour,1.936709022,0.098039216,0,-3,1,0.188736349,0.00029939,9,carib
Viegues,18.15749258,37.85177246,27,-7,282,0.150495657,0.013468597,19,carib
Virgin Gorda,47.35499491,91.96611787,53,-6,409,0.157731526,0.019471412,14,carib
Waderick Wells Cay,6.620084445,7.299003322,7,-7,15,0.123453525,0.002268206,4,carib
Water,37.21404976,26.71243523,21,-14,83,0.143255413,0.002877555,7,carib
Water Cay,3.112591576,2.676514032,2,-1,12,0.195845718,0.001036344,13,carib
West Caicos,3.998641082,6.239125535,6,-7,17,0.201604692,0.026207152,6,carib
West End Cay,2.419061663,0.805084746,1,-1,4,0.174978569,0.001130515,9,carib
Whale Cay,12.40121886,8.263157895,7,-44,57,0.146579658,0.016349853,9,carib
Williams Island,3.173982286,3.660140377,4,-5,17,0.136744902,NA,9,carib
Wood Cay,38.20403156,-6.861386139,1,-212,8,0.113392845,0.023828915,9,carib
Yellow Cay,3.233457477,4.250360899,4,-10,40,0.142449237,0.010089524,13,carib
Young Island,20.55792297,7.604,8,-74,71,0.150923193,0.002739777,7,carib
