"","names","estimate","lower","upper"
"max_elev","max_elev",0.0825293253627131,0.00181266487910263,0.163245985846324
"n_habitat","n_habitat",0.0409547217247639,0.0215805612375117,0.060328882212016
"area","area",0.120171185268394,0.0829812495191133,0.157361121017675
"dist_occ_islands","dist_occ_islands",0.225249115101915,0.0630716835223924,0.387426546681438
"Nearest_Dist","Nearest_Dist",-0.049025673693218,-0.127593385386211,0.0295420379997753
"TRI","TRI",0.0763279996628897,-0.0433905163578642,0.196046515683644
"dist_mainland","dist_mainland",0.0597673115068633,-0.109672973591846,0.229207596605573
"mean_csi","mean_csi",-0.0198683569839269,-0.147021077777329,0.107284363809475
"sd_csi","sd_csi",0.0421538195336974,-0.102066109965852,0.186373749033247
