Species,Native,areas,Log areas
Anolis bremeri,"Cuba, Isla de la Juventura",2419000000,21.60662007
Anolis angusticeps,"Cuba, Isla de la Juventura",2419000000,21.60662007
Anolis porcatus ,"Cuba, Isla de la Juventura",2419000000,21.60662007
Anolis sagrei,"Cuba, Isla de la Juventura",2419000000,21.60662007
Anolis paternus,"Cuba, Isla de la Juventura",2419000000,21.60662007
Anolis lineatus,Curacao,451750000,19.92863949
Anolis ravitergum,Dominican Republic,83104562500,25.14336544
Anolis longitibialis,Dominican Republic,83104562500,25.14336544
Anolis insolitus,Dominican Republic,83104562500,25.14336544
Anolis chlorocyanus,Dominican Republic,83104562500,25.14336544
Anolis olssoni,Dominican Republic,83104562500,25.14336544
Anolis bahorucoensis,Dominican Republic,83104562500,25.14336544
Anolis dominicensis ,Dominican Republic,83104562500,25.14336544
Anolis cybotes,Dominican Republic,83104562500,25.14336544
Anolis saxatilis,Dominican Republic,83104562500,25.14336544
Anolis barahonae,Dominican Republic,83104562500,25.14336544
Anolis porcatus ,Dominican Republic,83104562500,25.14336544
Anolis christophei,Dominican Republic,83104562500,25.14336544
Anolis fowleri,Dominican Republic,83104562500,25.14336544
Anolis armouri,Dominican Republic,83104562500,25.14336544
Anolis brevirostris ,Dominican Republic,83104562500,25.14336544
Anolis marcanoi,Dominican Republic,83104562500,25.14336544
Anolis baleatus,Dominican Republic,83104562500,25.14336544
Anolis ignigularis,Dominican Republic,83104562500,25.14336544
Anolis properus,Dominican Republic,83104562500,25.14336544
Anolis coelestinus,Dominican Republic,83104562500,25.14336544
Anolis carolinensis,"Florida, Big Pine Key",34687500,17.36188995
Anolis carolinensis,"Florida, Hutchinson Island",38250000,17.45965412
Anolis carolinensis,"Florida, Key West",25187500,17.0418584
Anolis carolinensis,"Florida, Long Key",6687500,15.71575067
Anolis carolinensis,"Florida, Sanibel Island",67750000,18.03133502
Anolis carolinensis,"Florida, Sugarloaf Key",9500000,16.06680236
Anolis gorgonae ,Gorgona Island,26000000,17.0736071
Anolis carolinensis,Grand Cayman,228562500,19.24732025
Anolis conspersus,Grand Cayman,228562500,19.24732025
Anolis aeneus,Grenada,329750000,19.61384535
Anolis richardii,Grenada,329750000,19.61384535
Anolis aeneus,"Grenadines, Bequia",16937500,16.64504066
Anolis richardii,"Grenadines, Bequia",16937500,16.64504066
Anolis aeneus,"Grenadines, Canouan",8125000,15.91045629
Anolis monticola,Haiti,83104562500,25.14336544
Anolis marron,Haiti,83104562500,25.14336544
