"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.008675","22.794523","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.023971","22.066931","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.147051","22.618962","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.774463","19.65801","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-76.220263","20.860339","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-75.745645","24.667995","Bahamas","Cat Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",433687500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.026711","22.06815","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.388755","18.940733","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.257985","19.352517","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.431691","19.039963","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.130491","19.922346","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.230686","19.329296","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.396794","19.366911","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.130592","19.922397","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.809392","19.971216","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.130505","19.922359","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
