"island","mean","sd"
"Conch Cay",0.148763313889503,0.0124203390813724
"Cayo Bahía de Cádiz",0.128534495830536,NA
"Cayo Cabezos",0.131640091538429,0.00271289869831087
"Cayo Anclitas",0.14781741797924,NA
"Cayo Grande.1",0.152384868264198,0.0193998200547135
"Cayo Grande.2",0.157655095060666,0.025390938448883
"Cayos Cinco Balas",0.142489291727543,0.0113902174202055
"Cayos Cinco Balas.1",0.138568565249443,0.00584547286052143
"Cayos Cinco Balas.2",0.142634958028793,0.000549889932521634
"Cayos Cinco Balas.3",0.142246127128601,NA
"Cayos los Cayuelos",0.140705943107605,0.00252472266634809
"Cayos Aguardiente",0.136329106986523,0.00201084917432924
"Cayos Aguardiente.1",0.136452309787273,0.00208337055050015
"Cayo Coco.2",0.142736062407494,NA
"Cayo del Pasaje",NA,NA
"Cayo San Juan.1",0.141719058156013,0.00274919678151711
"Cayos Boca de Alonso",0.140948450991086,0.00364276567153546
"Cayo de los Indios",0.137194983661175,0.000201072077533348
"Cayos de San Felipe",0.146842151880264,0.00243280038974583
"Cayo Grande.3",0.129496504863103,0.0044604122402265
"Cayo Grande.4",0.126152534037828,0.0029001819845773
"Cayo Grande.5",NA,NA
"Castle",0.135752066969872,0.0637077432162181
"Cayo Rapado Chico",0.14333138614893,0.00305786976329877
"Cayos de la Herradura",0.134524937719107,0.00592338542970957
"Cayo Jutias",0.136779278516769,NA
"Cayeria Las Cayamas",0.132527098059654,NA
"Cayeria Las Cayamas.1",0.13369719684124,NA
"Cayeria Las Cayamas.2",0.134408660233021,0.00100616117778845
"Cayo Santa Maria",0.12633852660656,NA
"Cayos Pajonal",0.124600785473982,0.00482591643254388
"Cayo Medano de Casiguas",0.12224855273962,0.000499840549914948
"Cayos Jutias",0.130863785743713,0.00518176536359612
"Cayos Dromedarios",0.128399167209864,0.000932045298006796
"Cayos de las Cinco Leguas",0.136045388877392,4.3442864102604e-05
"Long.1",0.14838037888209,0.010988439425325
"Long.2",0.165373563766479,NA
"Long.3",0.165965422987938,NA
"Cayos Falcones",0.129622310400009,0.00142694477660908
"Long.4",0.160083542267481,0.0051097921033695
"Cayos Blancos",0.139982245862484,0.00031501608248255
"Cayo Boca Seca",0.169960871338844,NA
"Cayo Puerco",0.137092798948288,NA
"Maycock Cay",0.165404811501503,0.00903002551373181
"Cayo Los Cayuelos",0.124082267284393,NA
"Flamingo Cay",0.133803971111774,0.00347430170001066
"Isla Beata",0.149269796907902,0.0153100850659612
"Île à Vache",0.197588622570038,0.00791696839399795
"Isla Saona",0.133861336112022,0.000532296921158495
"Île Grosse Caye",0.195084318518639,NA
"Isla Catalina",0.141030609607697,NA
"Île Corny",0.165541216731071,NA
"Petite Cayemite",0.158201619982719,NA
"Grande Cayemite",0.185965582728386,0.00479110622474865
"Île de la Gonâve",0.179501355597467,0.0110990063699696
"Jamaica",0.191963617192399,0.0168478378995646
"Great Goat Island",0.156546987593174,0.00299987569974778
"Puerto Rico",0.172764385226129,0.0154331751078464
"Pineros",0.158085092902184,0.00662029008137448
"Trinidad",0.166803133474397,0.00545520778705724
"Gaspar Grande",0.17224109172821,0.000817880668778154
"Chacachacare",0.166770957410336,0.000166385221208882
"Monos",0.169093996286392,NA
"North Andros",0.132199792436191,0.0045777278110043
"Yellow Cay",0.142449237406254,0.0100895235283108
"High Ridge Cay",0.136136069893837,NA
"Middle Bight Cay",0.129163542985916,0.005344385103494
"Reids Cay",0.156448468565941,0.00165388448241599
"Pine Tree Cay",0.156448468565941,0.00165388448241599
"Madiera Cay",0.125947281718254,0.000494656487548108
"Pine Cay",0.141638278961182,0.00931401828818543
"Pot Cay",0.136188372969627,NA
"Big Wood Cay",0.125017589330673,0.00153270137715551
"Williams Island",0.136744901537895,NA
"Andros",0.141461009159684,0.0114289102589425
"Andros.1",0.142796006053686,0.00815578000005285
"Andros.2",0.132419131696224,0.00865792152494126
"Andros.3",0.155278995633125,NA
"Andros.4",0.124725963920355,0.00161187860310005
"Andros.5",0.138956286013126,0.00494512134591958
"Andros.6",0.126496769487858,0.00158060164956768
"Andros.7",0.135708764195442,NA
"Andros.8",0.140532322227955,0.00434981818412746
"Andros.9",0.139189094305038,0.00496074729000499
"Andros.10",0.129572615027428,NA
"Andros.11",0.135681316256523,NA
"Andros.12",0.136939078569412,NA
"Andros.13",NA,NA
"Andros.14",0.127576440572739,NA
"Andros.15",0.13419334590435,NA
"Andros.16",0.138143271207809,NA
"Great Inagua",0.173397846710988,0.00794651515968903
"South Andros",0.128073436649222,0.00309006639064452
"Linder Cay",0.124988405033946,0.000302981552834927
"Andros.17",0.160753801465034,NA
"Andros.18",0.129340300957362,0.000370983944816924
"Andros.19",0.135594315826893,0.00624156029704584
"Andros.20",0.153453923761845,0.010323586051516
"Andros.21",0.128347128629684,0.000604020271770001
"Andros.22",0.139069594442844,0.00198877280397143
"Andros.23",0.140843823552132,0.00325131326125164
"Andros.24",0.138544797897339,NA
"Andros.25",0.137931231409311,0.00971462439084071
"Andros.26",0.135964192450047,0.00873635681002003
"Andros.27",0.141254715621471,0.00405666577930993
"Andros.28",0.125646710395813,0.00023406252320525
"Andros.29",0.126694455742836,0.000411585049133136
"Andros.30",0.125137152150273,0.00118609948990204
"Andros.31",0.125107273459435,NA
"Andros.32",0.124537292867899,0.000676310408584963
"Martinique",0.175609334426768,0.00737819430427134
"Great Abaco",0.151446966927941,0.0227652495144322
"Gorda Cay",0.15372209250927,0.0209804222580645
"Top Cay",0.158927425742149,NA
"Mangrove Cay",0.138255149126053,NA
"Moore?s Island",0.161538377404213,NA
"Tilloo Cay",0.146444246172905,0.0154658492813453
"Lubbers Quarters",0.157457809895277,0.0149895487118512
"Long Cay.1",0.172335378825665,0.00026456630481501
"Dilly Cay",0.16884808242321,0.000779632403754518
"Lightbourn?s Cay",0.174663230776787,NA
"Big Lake Cay",0.186865836381912,NA
"Great Guana Cay",0.166142210364342,NA
"Green Turtle Cay",0.175829757004976,0.00464336727220142
"Basin Harbour Cay",0.176299832761288,0.00248292352933741
"Nun Jack Cay",0.176037274301052,0.00513001310184392
"Randalls Cay",0.181440286338329,0.00170657857976674
"Powell Cay",0.174315720796585,NA
"Wood Cay",0.113392844796181,0.0238289145468968
"Great Abaco.1",0.0953181087970734,NA
"Great Abaco.2",0.0971398428082466,0.00157877093989001
"Great Abaco.3",0.0978258922696114,NA
"Great Abaco.4",0.149171849712729,0.0374271691151653
"Great Abaco.5",0.100174736231565,0.00292038147510017
"Great Abaco.6",0.100736411909262,0.00489827157805187
"Great Abaco.7",0.10223975777626,NA
"Great Abaco.8",0.10431569814682,0.00293582302672335
"Great Abaco.9",0.10431569814682,0.00293582302672335
"Great Abaco.10",0.106415960937738,0.00297856317796873
"Great Abaco.11",0.108516223728657,0.000593332796624238
"Great Abaco.12",0.110515784472227,0.00223447312572175
"Great Abaco.13",0.186430563529332,0.00754745715686955
"Great Abaco.14",0.113021194934845,NA
