"name","species","area"
"New Providence","Anolis carolinensis",215975030.709492
"New Providence","Anolis sagrei",215975030.709492
"New Providence","Anolis distichus",215975030.709492
"North Caicos","Anolis scriptus",206722661.778788
"Peter","Anolis ernestwilliamsi",4373926.93984773
"Providenciales","Anolis scriptus",107945329.867311
"Puerto Rico","Anolis poncensis",8739906339.99614
"Puerto Rico","Anolis occultus",8739906339.99614
"Puerto Rico","Anolis pulchellus",8739906339.99614
"Puerto Rico","Anolis krugi",8739906339.99614
"Puerto Rico","Anolis evermanni",8739906339.99614
"Puerto Rico","Anolis gundlachi",8739906339.99614
"Puerto Rico","Anolis cuvieri",8739906339.99614
"Saint Lucia","Anolis extremus",605907326.943428
"Saint Lucia","Anolis luciae",605907326.943428
"Saint Martin/Sint Maarten","Anolis gingivinus",89510270
"Saint Martin/Sint Maarten","Anolis wattsii",89510270
"Saint Martin/Sint Maarten","Anolis pogus",89510270
"San Salvador","Anolis distichus",150327880.089967
"San Salvador","Anolis sagrei",150327880.089967
"San Salvador","Anolis smaragdinus",150327880.089967
"Sint Eustatius","Anolis schwartzi",20839098
"St Kitts","Anolis schwartzi",167612282.162196
"St Kitts","Anolis wattsii",167612282.162196
"St Vincent","Anolis griseus  ",345635633.469308
"St Vincent","Anolis richardii",345635633.469308
"St Vincent","Anolis aeneus",345635633.469308
"St. Croix","Anolis pulchellus",217778731.713332
"St. Croix","Anolis acutus",217778731.713332
"St. John","Anolis pulchellus",50158375.8006312
"St. Thomas","Anolis pulchellus",72640192.2570198
"Tobago","Anolis richardii",301464946.272833
"Tortola","Anolis pulchellus",57687324.011311
"Trinidad","Anolis planiceps",4848474902.97843
"Viegues","Anolis pulchellus",134288142.613613
