island_name,dist_mainland_m
Andros.11,214315.2371
Andros.12,215050.1945
Andros.13,211915.3252
Andros.14,255754.6223
Andros.15,215824.5046
Andros.16,262930.6352
Great Inagua,829602.6736
South Andros,298968.7899
Linder Cay,298499.1725
Andros.17,308679.0241
Andros.18,323538.0122
Andros.19,313155.9969
Andros.20,309507.818
Andros.21,326872.9539
Andros.22,312657.869
Andros.23,307181.3517
Andros.24,307411.0426
Andros.25,301135.0607
Andros.26,302907.3001
Andros.27,295907.9964
Andros.28,302827.9254
Andros.29,296668.3523
Andros.30,299222.5827
Andros.31,297855.9917
Andros.32,300892.2646
Martinique,420829.0671
Great Abaco,220832.971
Gorda Cay,253801.2206
Top Cay,247642.4761
Mangrove Cay,247150.4446
Moore?s Island,246281.7734
Tilloo Cay,303145.0364
Lubbers Quarters,302215.5143
Long Cay.1,219685.4123
Dilly Cay,299954.5822
Lightbourn?s Cay,213327.8839
Big Lake Cay,266711.9248
Great Guana Cay,285505.6986
Green Turtle Cay,268544.7227
Basin Harbour Cay,252025.6609
Nun Jack Cay,263995.6089
Randalls Cay,248794.2076
Powell Cay,254245.9176
Wood Cay,271869.9818
Great Abaco.1,276730.411
Great Abaco.2,277492.7182
Great Abaco.3,272332.3368
Great Abaco.4,281645.115
Great Abaco.5,279625.118
Great Abaco.6,274084.8498
Great Abaco.7,279323.0005
Great Abaco.8,277099.7214
Great Abaco.9,277347.4335
Great Abaco.10,274499.1811
Great Abaco.11,276743.3732
Great Abaco.12,275452.7842
Great Abaco.13,279963.1163
Great Abaco.14,267876.5664
Great Abaco.15,280259.6695
Great Abaco.16,276716.2574
Great Abaco.17,271021.1068
Great Abaco.18,276034.1302
Great Abaco.19,281739.3316
Big Cross Cay,220168.6171
Michael's Cay,216673.228
Big Coppice Mangrove,267659.2845
Big Joe Downer Cay,258482.1063
Scotland Cay,294018.0863
Little Joe Downer Cay,258300.3043
Grand Bahama,103940.9897
August Cay,210073.0605
Man o? War Cay,110047.994
Water Cay,152312.5863
Grand Bahama.1,125581.8704
Grand Bahama.2,124579.9543
Grand Bahama.3,127617.845
Grand Bahama.4,126502.4658
Sweetings Cay,212514.847
Jackson's Cay,215484.3932
Grand Bahama.5,140439.0805
Grand Bahama.6,154438.8558
The Bahamas,210997.5222
Guadeloupe,579123.9365
Marie Galante,573578.4748
Îlet à Fajou,623449.5426
Dominica,499877.3849
Saint Lucia,345012.3664
Hog Cay.1,542659.2431
Rum Cay Island,575272.4716
Crooked,719153.5507
Acklins.1,720159.3136
Barbados,358487.1054
Eleuthera,337565.4203
Current Island,333172.8996
Harbour Island,351269.7759
Russel Island,333791.7844
Cat,457358.263
St Vincent,275144.7005
Grenada,139153.9835
Tobago,121603.8733
Mayaguana,801933.9549
Grand Turk,1000382.236
Antigua,695859.3244
Long Island,712684.5404
New Providence,273383.6251
Paradise Island,291988.5332
St. Croix,785369.6502
Great Exuma,469747.7297
Coakley Cay,487672.6157
Bowe Cay,491737.3694
Little Exuma,520205.1264
Jewfish Cay,493451.627
Moriah Harbour Cay,518343.5612
Stocking Island,504897.5551
Green Turtle Cay.1,501854.3813
Great Exuma.1,502025.2414
Great Exuma.2,478336.3074
Great Exuma.3,474190.1826
North Caicos,927409.1962
Middle Caicos,947610.4376
Parrot Cay,925878.0512
North Caicos.1,939477.2194
North Caicos.2,939978.4031
Grand Cayman,489297.6182
East Caicos,974816.6217
East Caicos.1,992261.5684
Tortue,847649.6676
Barbuda,756605.569
Barbuda.1,768107.848
St Kitts,718710.5546
San Salvador,596482.987
Viegues,811634.9544
Little Inagua,856577.004
Montserrat,660583.294
Ronde Island,175497.9241
Petite Martinique,204038.9161
Carriacou Island,192919.4299
Terre-de-Bas,567554.653
Terre de Bas,608874.3589
La Désirade,622814.5249
Nevis,705534.7312
Sint Eustatius,747190.459
Saba Island,765474.6027
Île Saint-Barthélemy,792811.9212
Anguilla,825465.3964
Dog Island,838420.2818
Scrub Island,837207.059
Little Cayman,600727.4469
Cayman Brac Island,609050.7275
