"Name","n_habitat"
"Grand Cayman","13"
"Nevis","15"
"St Kitts","20"
"Sint Eustatius","12"
"Montserrat","18"
"Terre-de-Bas","9"
"Terre de Bas","4"
"La Désirade","13"
"Saba Island","10"
"Île Saint-Barthélemy","10"
"Saint Martin/Sint Maarten","19"
"Tintamarre","4"
"Anguilla","10"
"Dog Island","4"
"Scrub Island","6"
"Little Cayman","8"
"Cayman Brac Island","9"
"Terre de Haut","9"
"Mona","8"
"Desecheo","5"
"Navassa","5"
