"name","area"
"Cayos Cinco Balas.3",9376604.492
"Cayos de la Enfermeria",1818084.187
"Cayos de la Herradura",2571273.184
"Cayos de las Cinco Leguas",8006332.164
"Cayos de San Felipe",2310849.835
"Cayos Dromedarios",9815479.181
"Cayos Falcones",2848849.166
"Cayos Jutias",2807947.644
"Cayos Pajonal",4487010.744
"Cayos Pingues",1914373.787
"Chacachacare",4028657.927
"Coakley Cay",1541031.437
"Compass Cay",2729525.44
"Conception Island",6845071.73
"Cooper",1483777.013
"Cotton Cay",1735666.783
"Crooked",3045141.808
"Crooked Island",252842055.2
"Cross Cays",1297990.575
"Cuba",1.05e+11
"Current Island",9313730.837
"Darby Island",3252194.706
"de Culebra",27118805.85
"Dellis Cay",2005831.744
"Dog Island",2104009.567
"Dominica",753454493.5
"East Caicos",197458120.8
"Elbow Cay",4077013.436
"Eleuthera",431551463
"Frazer?s Hog Cay",7636619.954
"Gaspar Grande",1406764.278
"Gold Cay",1982187.622
"Gorda Cay",4788737.021
"Grand Bahama",954036918.8
"Grand Bahama.1",1982726.211
"Grand Bahama.2",1559327.293
"Grand Bahama.3",1377795.134
"Grand Bahama.4",4583197.723
"Grand Bahama.5",2116951.048
"Grand Bahama.6",1740780.11
"Grand Cay",1978273.968
"Grand Cayman",202825067.5
"Grand Turk",18424807.72
"Grande Cayemite",50024761.91
"Great Abaco",1139138737
"Great Abaco.10",6395422.914
"Great Abaco.13",2691642.836
"Great Abaco.16",3366036.497
"Great Abaco.17",1744013.752
"Great Abaco.18",1407934.715
"Great Abaco.2",2610653.363
"Great Abaco.3",1601427.006
"Great Abaco.4",2354217.079
"Great Abaco.5",1378847.437
"Great Abaco.6",3585617.85
"Great Abaco.9",1337656.798
"Great Camanoe",3324502.677
"Great Exuma",178000013
"Great Exuma.1",5798388.045
"Great Goat Island",5341955.49
"Great Guana Cay",5512094.072
"Great Guana Cay.1",12623811.37
"Great Inagua",1532737285
"Great Sale Cay",6625151.037
"Green Cay",2331489.247
"Green Turtle Cay",3868600.475
"Grenada",314966480.5
"Guadeloupe",1448413088
"Guana",2940265.921
"Halls Pond Cay",1955595.208
"Hans Lollik",1964857.33
"Harbour Island",2780624.591
"Hawksbill Cay",2831291.196
"High Ridge Cay",6930655.966
"Highbourn Cay",2218755.251
"Hispaniola",74199803181
"Hoffman Cay",1898712.109
"Hog Cay",2815607.556
"Hog Cay.2",2873450.108
