"","island_name","dist_mainland_m"
"158","Long.2",573362.896052413
"159","Long.3",578557.608520996
"160","Cayos Falcones",218481.303772238
"161","Long.4",573570.244354134
"162","Cayos Blancos",212370.621202052
"163","Cayo Boca Seca",549540.74705462
"164","Cayo Puerco",600317.061232694
"165","Maycock Cay",577113.799566548
"166","Cayo Los Cayuelos",337155.657220892
"167","Flamingo Cay",530988.17791283
"168","Isla Beata",567848.11864587
"169","Île à Vache",657969.158421576
"170","Isla Saona",674960.841236856
"171","Île Grosse Caye",669106.405376311
"172","Isla Catalina",693565.695422271
"173","Île Corny",708881.794954455
"174","Petite Cayemite",723266.284061521
"175","Grande Cayemite",718675.75346976
"176","Île de la Gonâve",707628.1736201
"177","Jamaica",626105.246358873
"178","Great Goat Island",723264.883624668
"179","Puerto Rico",707385.837920735
"180","Pineros",823785.904176121
"181","Trinidad",14075.6849292207
"182","Gaspar Grande",24721.7894362094
"183","Chacachacare",14057.4671907163
"184","Monos",20310.9666794234
"185","North Andros",203355.166793549
"186","Yellow Cay",262421.26493639
"187","High Ridge Cay",281396.225602566
"188","Middle Bight Cay",280532.584152349
"189","Reids Cay",271419.631081448
"190","Pine Tree Cay",269282.3158114
"191","Madiera Cay",286635.58251205
"192","Pine Cay",273453.197796365
"193","Pot Cay",279126.216565809
"194","Big Wood Cay",280034.192741107
"195","Williams Island",204317.88818745
"196","Andros",275997.036140287
"197","Andros.1",269362.080818896
"198","Andros.2",280808.973341856
"199","Andros.3",272029.169119765
"200","Andros.4",286329.641513009
"201","Andros.5",274743.35884226
"202","Andros.6",274965.973042317
"203","Andros.7",228146.638175264
"204","Andros.8",225197.187211825
"205","Andros.9",211464.143361706
"206","Andros.10",255247.262779547
"207","Andros.11",214315.237083578
"208","Andros.12",215050.194512476
"209","Andros.13",211915.325172538
"210","Andros.14",255754.622283578
"211","Andros.15",215824.504594567
"212","Andros.16",262930.635212323
"213","Great Inagua",829602.673582747
"214","South Andros",298968.789886781
"215","Linder Cay",298499.172455738
"216","Andros.17",308679.024130467
"217","Andros.18",323538.012232909
"218","Andros.19",313155.996890892
"219","Andros.20",309507.818027895
"220","Andros.21",326872.953884504
"221","Andros.22",312657.868989794
"222","Andros.23",307181.351679613
"223","Andros.24",307411.042579484
"224","Andros.25",301135.060714667
"225","Andros.26",302907.30009347
"226","Andros.27",295907.996442329
"227","Andros.28",302827.92542597
"228","Andros.29",296668.352258045
"229","Andros.30",299222.58269336
"230","Andros.31",297855.991726567
"231","Andros.32",300892.26456837
"232","Martinique",420829.067088145
"233","Great Abaco",220832.970999867
"234","Gorda Cay",253801.220578384
"235","Top Cay",247642.476063109
"236","Mangrove Cay",247150.444581434
"237","Moore?s Island",246281.773357563
"238","Tilloo Cay",303145.036419595
"239","Lubbers Quarters",302215.514346508
"240","Long Cay.1",219685.412287324
"241","Dilly Cay",299954.582218092
"242","Lightbourn?s Cay",213327.883925438
"243","Big Lake Cay",266711.924818463
"244","Great Guana Cay",285505.698582677
"245","Green Turtle Cay",268544.722723148
"246","Basin Harbour Cay",252025.660910184
"247","Nun Jack Cay",263995.608948903
"248","Randalls Cay",248794.20760256
"249","Powell Cay",254245.917551042
"250","Wood Cay",271869.981829076
"251","Great Abaco.1",276730.411023456
"252","Great Abaco.2",277492.718164255
"253","Great Abaco.3",272332.336763654
"254","Great Abaco.4",281645.115006192
"255","Great Abaco.5",279625.117996672
"256","Great Abaco.6",274084.849783041
"257","Great Abaco.7",279323.00049411
"258","Great Abaco.8",277099.72138363
"259","Great Abaco.9",277347.433474746
"260","Great Abaco.10",274499.181095449
"261","Great Abaco.11",276743.373184574
"262","Great Abaco.12",275452.784210827
"263","Great Abaco.13",279963.116330373
"264","Great Abaco.14",267876.566445031
"265","Great Abaco.15",280259.669450252
"266","Great Abaco.16",276716.257443197
"267","Great Abaco.17",271021.106792274
"268","Great Abaco.18",276034.130237711
"269","Great Abaco.19",281739.331574133
"270","Big Cross Cay",220168.617130059
"271","Michael's Cay",216673.227996915
"272","Big Coppice Mangrove",267659.284547756
"273","Big Joe Downer Cay",258482.106273752
"274","Scotland Cay",294018.086308985
"275","Little Joe Downer Cay",258300.304282174
"276","Grand Bahama",103940.989670739
"277","August Cay",210073.060520703
"278","Man o? War Cay",110047.993993338
"279","Water Cay",152312.586261099
"280","Grand Bahama.1",125581.870384106
"281","Grand Bahama.2",124579.954271094
"282","Grand Bahama.3",127617.845049429
"283","Grand Bahama.4",126502.465816992
"284","Sweetings Cay",212514.846998338
"285","Jackson's Cay",215484.393158793
"286","Grand Bahama.5",140439.080542625
"287","Grand Bahama.6",154438.855796406
"288","The Bahamas",210997.522161674
"289","Guadeloupe",579123.936483212
"290","Marie Galante",573578.474844976
"291","Îlet à Fajou",623449.542633355
"292","Dominica",499877.384886228
"293","Saint Lucia",345012.366424932
"294","Hog Cay.1",542659.243075845
"295","Rum Cay Island",575272.471620681
"296","Crooked",719153.550740949
"297","Acklins.1",720159.31358553
"298","Barbados",358487.105374042
"299","Eleuthera",337565.420345259
"300","Current Island",333172.899556148
"301","Harbour Island",351269.775896176
"302","Russel Island",333791.784368782
"303","Cat",457358.263029285
"304","St Vincent",275144.700457702
"305","Grenada",139153.98352501
"306","Tobago",121603.873273491
"307","Mayaguana",801933.954898834
"308","Grand Turk",1000382.23638641
"309","Antigua",695859.324414957
"310","Long Island",712684.54038873
"311","New Providence",273383.625127249
"312","Paradise Island",291988.533206461
"313","St. Croix",785369.650210657
"314","Great Exuma",469747.72973327
"315","Coakley Cay",487672.615717263
"316","Bowe Cay",491737.369401482
"317","Little Exuma",520205.126364333
"318","Jewfish Cay",493451.627046779
"319","Moriah Harbour Cay",518343.561240532
"320","Stocking Island",504897.555051744
"321","Green Turtle Cay.1",501854.381348166
"322","Great Exuma.1",502025.241401057
"323","Great Exuma.2",478336.307363716
