name,area
Grande Cayemite,50024761.91
Île de la Gonâve,684088048.9
Jamaica,11012634460
Great Goat Island,5341955.49
Puerto Rico,8739906340
Pineros,1348583.355
Trinidad,4848474903
Gaspar Grande,1406764.278
Chacachacare,4028657.927
Monos,4414352.503
North Andros,3419382134
Yellow Cay,24809164.76
High Ridge Cay,6930655.966
Middle Bight Cay,428747079.4
Reids Cay,2545756.755
Pine Tree Cay,2730194.594
Madiera Cay,2412205.151
Pine Cay,14608961.93
Pot Cay,1954136.149
Big Wood Cay,74427890.44
Williams Island,13721475.37
Andros,28019048.88
Andros.1,8426909.065
Andros.2,1332509.119
Andros.3,1798851.649
Andros.4,2048655.476
Andros.5,2651046.432
Andros.6,2331049.821
Andros.7,5115160.035
Andros.8,1051271.925
Andros.9,1600652.889
Andros.10,4841111.013
Andros.11,4133929.866
Andros.12,5455207.272
Andros.13,3044652.547
Andros.14,9667834.246
Andros.15,6392733.211
Andros.16,1552530.351
Great Inagua,1532737285
South Andros,739054593.2
Linder Cay,14514417.27
Andros.17,1272111.591
Andros.18,93692000.95
Andros.19,32382056.07
Andros.20,3490521.646
Andros.21,1407517.149
Andros.22,1091292.431
Andros.23,1153977.316
Andros.24,13112234.61
Andros.25,4172238.006
Andros.26,1175931.135
Andros.27,2320039.381
Andros.28,2595186.15
Andros.29,1898971.087
Andros.30,7458406.528
Andros.31,6427365.962
Andros.32,3877662.277
Martinique,1110936544
Great Abaco,1139138737
Gorda Cay,4788737.021
Top Cay,1539284.097
Mangrove Cay,1025388.281
Moore?s Island,16728309.69
Tilloo Cay,1444573.196
Lubbers Quarters,1481671.41
Long Cay.1,2398817.296
Dilly Cay,1219924.759
Lightbourn?s Cay,18972074.91
Big Lake Cay,1599302.961
Great Guana Cay,5512094.072
Green Turtle Cay,3868600.475
Basin Harbour Cay,1669429.199
Nun Jack Cay,3060942.797
Randalls Cay,2743404.008
Powell Cay,1359355.443
Wood Cay,4043355
Great Abaco.1,1152820.288
Great Abaco.2,2610653.363
Great Abaco.3,1601427.006
Great Abaco.4,2354217.079
Great Abaco.5,1378847.437
Great Abaco.6,3585617.85
Great Abaco.7,1195932.717
Great Abaco.8,1019678.446
Great Abaco.9,1337656.798
Great Abaco.10,6395422.914
Great Abaco.11,1012935.627
Great Abaco.12,1011636.874
Great Abaco.13,2691642.836
Great Abaco.14,1022453.5
Great Abaco.15,1011427.75
Great Abaco.16,3366036.497
Great Abaco.17,1744013.752
Great Abaco.18,1407934.715
Great Abaco.19,1077667.242
Big Cross Cay,1578653.343
Michael's Cay,9851672.05
Big Coppice Mangrove,2096387.023
Big Joe Downer Cay,2499357.563
Scotland Cay,1349085.997
Little Joe Downer Cay,1501011.042
Grand Bahama,954036918.8
August Cay,9137730.106
Man o? War Cay,2017020.38
Water Cay,3375083.292
Grand Bahama.1,1982726.211
Grand Bahama.2,1559327.293
Grand Bahama.3,1377795.134
Grand Bahama.4,4583197.723
Sweetings Cay,8628593.314
Jackson's Cay,1243969.889
Grand Bahama.5,2116951.048
Grand Bahama.6,1740780.11
The Bahamas,1931059.512
Guadeloupe,1448413088
Marie Galante,160044418.4
Îlet à Fajou,1094572.187
Dominica,753454493.5
Saint Lucia,605907326.9
Hog Cay.1,1128267.853
Rum Cay Island,80843400.01
Crooked,3045141.808
Acklins.1,6872918.692
Barbados,434104883
Eleuthera,431551463
Current Island,9313730.837
Harbour Island,2780624.591
Russel Island,4136783.773
Cat,358909356.8
St Vincent,345635633.5
Grenada,314966480.5
Tobago,301464946.3
Mayaguana,286222863.5
Grand Turk,18424807.72
Antigua,274569789.4
Long Island,1272349.506
New Providence,215975030.7
Paradise Island,3357839.136
St. Croix,217778731.7
Great Exuma,178000013
Coakley Cay,1541031.437
Bowe Cay,1114771.747
Little Exuma,26603325.99
Jewfish Cay,1005632.863
Moriah Harbour Cay,1558715.323
Stocking Island,2298711.303
Green Turtle Cay.1,1056886.503
Great Exuma.1,5798388.045
Great Exuma.2,1012206.896
Great Exuma.3,1084195.669
North Caicos,206722661.8
Middle Caicos,288442698.7
Parrot Cay,5726874.885
North Caicos.1,1325742.638
North Caicos.2,13867895.11
Grand Cayman,202825067.5
East Caicos,197458120.8
East Caicos.1,1154161.34
Tortue,180399000.9
Barbuda,136370548
Barbuda.1,6454231.733
St Kitts,167612282.2
San Salvador,150327880.1
Viegues,134288142.6
Little Inagua,132018974.5
Montserrat,102637438.6
Ronde Island,2552667.23
Petite Martinique,2068823.195
Carriacou Island,32353627.48
Terre-de-Bas,6798564.499
Terre de Bas,1305257.64
La Désirade,19052966.25
Nevis,94410672.73
Sint Eustatius,20839097.78
Saba Island,12949918.02
Île Saint-Barthélemy,19096427.68
Anguilla,72789842.34
Dog Island,2104009.567
Scrub Island,3469564.359
Little Cayman,29647627.05
Cayman Brac Island,39200085.32
Samana Cay,33699812.74
Cayo Blanco,4343794.073
Cayo Galindo,18327799.15
Cayo Cruz del Padre,2202317.325
Hog Cay.2,2873450.108
Cay Sal,1256102.559
Allen Cay,1349883.35
Lee Stocking Island,3911897.48
Norman?s Pond Cay,2373329.551
Bock Cay,1626588.66
Young Island,1316785.683
Conception Island,6845071.73
Darby Island,3252194.706
Rudder Cut Cay,1586857.049
Cave Cay,1093158.511
Big Farmer?s Cay,2307551.175
Green Cay,2331489.247
Great Guana Cay.1,12623811.37
Bitter Guana Cay,1070257.335
Staniel Cay,1811370.833
Big Major?s Spot,1137168.155
Spanish Wells,27264316.2
Sampson Cay,1768059.677
Pipe Cay,1526497.528
Compass Cay,2729525.44
Bell Island,1509627.188
Halls Pond Cay,1955595.208
Waderick Wells Cay,1526268.416
Hawksbill Cay,2831291.196
Shroud Cay,1605567.369
Shroud Cay.1,4745439.511
Little San Salvador,9897491.845
Norman?s Cay Island,3574933.459
Gold Cay,1982187.622
Highbourn Cay,2218755.251
Ship Channel Cay,1584734.426
Bird Cay,1091942.89
Frazer?s Hog Cay,7636619.954
Whale Cay,3568623.546
Bonds Cay,2863206.699
Royal Island,1894089.79
Little Harbour Cay,1183873.88
Hoffman Cay,1898712.109
Ambergris Cay,1070522.618
South Bimini Cay,8182502.242
North Bimini,11323709.09
Bamboo Cay,27304212.04
Great Stirrup Cay,1216595.585
