"","island","mean","sd"
"115","Cayo Fragoso",0.122062457725406,0.00081440440521491
"116","Cayo Inés de Soto",0.125889778137207,0.0025636933225303
"117","Cayo del Medio de Marcos",0.122376147657633,0.00190915213877829
"118","Crooked Island",0.147560934935297,0.0139330213394374
"119","Cayo Marcos",0.1206124573946,NA
"120","Cayo Levisa",0.130545908585191,0.0111392378667267
"121","Cayo Lanzanillo",0.130388759076595,0.00501548550950852
"122","Cayo Tumba la Olla",0.127680018544197,NA
"123","Cayo Los Quitasoles",0.128616643448671,0.00327341619167893
"124","Cayo Hachuela",0.12976373359561,0.00314459715365408
"125","Cayo Mariposa",0.128549247980118,0.00141750388254264
"126","Cayo de la Cruz",0.131703048944473,0.00304264421427421
"127","Cayo Las Picúas",0.127343133091927,NA
"128","Cayo Iguana",0.128158822655678,NA
"129","Los Conucos",0.126202121376991,0.00132981736421573
"130","Cayo del Cristo",0.135811820626259,0.00879650971771031
"131","Cayo Piedra del Obispo",0.129538029432297,NA
"132","Cayo La Yana",0.125762606660525,0.00160263753363575
"133","Cayo Blanquizal",0.128818571567535,NA
"134","Cayo Genovés",0.135711709658305,0.00117813483489756
"135","Conch Cay",0.148763313889503,0.0124203390813724
"136","Cayo Bahía de Cádiz",0.128534495830536,NA
"137","Cayo Cabezos",0.131640091538429,0.00271289869831087
"138","UNNAMED",0.132707625627518,0.0078109279205542
"139","UNNAMED",0.12782396376133,NA
"140","UNNAMED",0.176358856260777,0.0327372168693367
"141","UNNAMED",0.177878834307194,0.0305876433015841
"142","UNNAMED",0.1790541857481,0.0322498412498689
"143","Cayo Anclitas",0.14781741797924,NA
"144","Cayo Grande",0.152384868264198,0.0193998200547135
"145","Cayo Grande",0.157655095060666,0.025390938448883
"146","Cayos Cinco Balas",0.142489291727543,0.0113902174202055
"147","Cayos Cinco Balas",0.138568565249443,0.00584547286052143
"148","Cayos Cinco Balas",0.142634958028793,0.000549889932521634
"149","Cayos Cinco Balas",0.142246127128601,NA
"150","UNNAMED",0.14506508409977,0.00359995256874807
"151","UNNAMED",0.131108082830906,0.002714457241632
"152","Cayos los Cayuelos",0.140705943107605,0.00252472266634809
"153","Cayos Aguardiente",0.136329106986523,0.00201084917432924
"154","Cayos Aguardiente",0.136452309787273,0.00208337055050015
"155","UNNAMED",NA,NA
"156","Cayo Coco",0.142736062407494,NA
"157","Cayo del Pasaje",NA,NA
"158","Cayo San Juan",0.141719058156013,0.00274919678151711
"159","Cayos Boca de Alonso",0.140948450991086,0.00364276567153546
"160","UNNAMED",0.129058040678501,0.000958493092122624
"161","Cayo de los Indios",0.137194983661175,0.000201072077533348
"162","UNNAMED",0.131478041410446,NA
"163","UNNAMED",0.131596103310585,NA
"164","Cayos de San Felipe",0.146842151880264,0.00243280038974583
"165","Cayo Grande",0.129496504863103,0.0044604122402265
"166","Cayo Grande",0.126152534037828,0.0029001819845773
"167","Cayo Grande",NA,NA
"168","UNNAMED",0.122658684849739,0.000727422995161648
"169","Castle",0.135752066969872,0.0637077432162181
"170","UNNAMED",0.14595077931881,NA
"171","UNNAMED",0.127793520689011,0.00108382967054646
"172","UNNAMED",0.137012630701065,NA
"173","UNNAMED",0.136377863585949,0.000498672415138562
"174","Cayo Rapado Chico",0.14333138614893,0.00305786976329877
"175","UNNAMED",0.12823336571455,0.000652887685670286
"176","UNNAMED",0.130057687560717,0.00396813785404667
"177","UNNAMED",0.126062750816345,NA
"178","UNNAMED",0.12517111748457,0.000180263857010462
"179","Cayos de la Herradura",0.134524937719107,0.00592338542970957
"180","UNNAMED",0.123330768197775,0.00248578424668008
"181","Cayo Jutias",0.136779278516769,NA
"182","UNNAMED",0.126011580228806,0.000366740802317544
"183","UNNAMED",0.125467624515295,0.00387057628194308
"184","Cayeria Las Cayamas",0.132527098059654,NA
"185","Cayeria Las Cayamas",0.13369719684124,NA
"186","UNNAMED",0.142425380647182,0.0120228400562944
"187","Cayeria Las Cayamas",0.134408660233021,0.00100616117778845
"188","UNNAMED",0.124661080539227,NA
"189","Cayo Santa Maria",0.12633852660656,NA
"190","UNNAMED",0.122271172702312,0.00285383523037975
"191","Cayos Pajonal",0.124600785473982,0.00482591643254388
"192","UNNAMED",0.123296409845352,0.000101584441623382
"193","UNNAMED",0.123368240892887,NA
"194","Cayo Medano de Casiguas",0.12224855273962,0.000499840549914948
"195","UNNAMED",0.129437834024429,NA
"196","Cayos Jutias",0.130863785743713,0.00518176536359612
"197","Cayos Dromedarios",0.128399167209864,0.000932045298006796
"198","UNNAMED",0.130863785743713,0.00518176536359612
"199","UNNAMED",0.131278090178967,0.00498613412065719
"200","UNNAMED",0.127743259072304,0.00253818858444732
"201","UNNAMED",0.127743259072304,0.00253818858444732
"202","UNNAMED",0.126200154423714,0.00129883943056022
"203","UNNAMED",0.137261688709259,NA
"204","UNNAMED",0.125977009534836,0.000627756235145511
"205","UNNAMED",0.125977009534836,0.000627756235145511
"206","UNNAMED",0.127228081226349,0.00275254745597372
"207","UNNAMED",0.128029830753803,0.0016129915026483
"208","Cayos de las Cinco Leguas",0.136045388877392,4.3442864102604e-05
"209","Long",0.14838037888209,0.010988439425325
"210","UNNAMED",0.135229330509901,0.00102998851141698
"211","Long",0.165373563766479,NA
"212","UNNAMED",0.133201483637094,0.00342045083843394
"213","Long",0.165965422987938,NA
"214","Cayos Falcones",0.129622310400009,0.00142694477660908
"215","Long",0.160083542267481,0.0051097921033695
"216","UNNAMED",0.132672771811485,NA
"217","UNNAMED",0.1344378516078,0.0019314984353254
"218","Cayos Blancos",0.139982245862484,0.00031501608248255
"219","UNNAMED",0.13287365436554,0.000900862027886196
"220","Cayo Boca Seca",0.169960871338844,NA
