"","island","mean","sd"
"532","Little Bells Cay",0.131831536690394,0.00487094451196296
"533","Rose",0.141000469525655,0.00155414230111485
"534","Long Cay",0.128609552979469,0.00252265747077105
"535","Joulter Cays",0.127695083618164,0.00223253663434264
"536","Joulter Cays",0.128399848937988,NA
"537","Lynyard Cay",0.152312509715557,0.00600614718375708
"538","The Bahamas",0.189051933586597,0.000146913377196849
"539","Big Mangrove Cay",0.177715986967087,0.00519176319081807
"540","West End Cay",0.174978569149971,0.00113051538631285
"541","Strangers Cay",0.189337948958079,0.00480986302188406
