"Name","n_habitat"
"Fernandina","13"
"Santiago","11"
"Albany","1"
"Caleta del Bucanero","1"
"Mao","1"
"Devine","1"
"Santa Cruz","10"
"Caamaño","2"
"Wolf","1"
"Pináculo de Wolf","1"
"Norte de Wolf","1"
