"","island_name","dist_mainland_m"
"1","Kauai",3639562.63678606
"2","Niihau",3657918.70920809
"3","Niihau.1",3660584.5970554
"4","Oahu",3709980.80569041
"5","Oahu.1",3747942.6975285
"6","Oahu.2",3754220.72187802
"7","Oahu.3",3755057.65057894
"8","Molokai",3709115.9701218
"9","Maui",3678811.52653043
"10","Lanai",3740070.5606657
"11","kahoolawe",3729290.34996069
"12","kahoolawe.1",3736855.07349855
"13","Hawaii",3675290.00206466
