"TRI","name"
5.52979084032197,"Long.3"
3.78096616009943,"Cayos Falcones"
3.00894030974937,"Long.4"
4.59632078945637,"Cayos Blancos"
18.0222308045874,"Cayo Boca Seca"
4.83026324478643,"Cayo Puerco"
7.01165063902434,"Maycock Cay"
5.72625853434021,"Cayo Los Cayuelos"
7.69479588074471,"Flamingo Cay"
6.8663488362771,"Isla Beata"
8.25486436025726,"Île à Vache"
4.91740663086055,"Isla Saona"
35.0548632627024,"Île Grosse Caye"
8.92288948093063,"Isla Catalina"
30.0957959264105,"Île Corny"
21.3701543069519,"Petite Cayemite"
16.6111329679698,"Grande Cayemite"
20.4452639775094,"Île de la Gonâve"
33.0449599268154,"Jamaica"
16.2545655016634,"Great Goat Island"
34.5583035644503,"Puerto Rico"
17.1979677497395,"Pineros"
19.0483994346669,"Trinidad"
39.8243469245703,"Gaspar Grande"
97.3512715678483,"Chacachacare"
74.7630970594142,"Monos"
4.09253071419657,"North Andros"
3.23345747677954,"Yellow Cay"
5.58371152605078,"High Ridge Cay"
3.61578560760391,"Middle Bight Cay"
3.26963328744123,"Reids Cay"
3.48913566196771,"Pine Tree Cay"
4.3815461712725,"Madiera Cay"
2.98539456628177,"Pine Cay"
4.90054939606393,"Pot Cay"
3.58192433999719,"Big Wood Cay"
3.17398228634756,"Williams Island"
3.71429312009205,"Andros"
3.52537608298942,"Andros.1"
4.25610751227329,"Andros.2"
2.80237879589157,"Andros.3"
4.40322884969544,"Andros.4"
2.59075983250532,"Andros.5"
2.80913295661267,"Andros.6"
14.8747891012255,"Andros.7"
14.8302162386514,"Andros.8"
2.66708423441778,"Andros.9"
3.30326855082995,"Andros.10"
3.34157321649819,"Andros.11"
3.27307571809464,"Andros.12"
3.0347717496222,"Andros.13"
4.78803048142625,"Andros.14"
3.66192080854223,"Andros.15"
3.56827541981924,"Andros.16"
2.55821402334208,"Great Inagua"
3.07526681379166,"South Andros"
3.17199438342448,"Linder Cay"
7.74121476685415,"Andros.17"
3.32079466602487,"Andros.18"
3.94130633530226,"Andros.19"
5.97940660083171,"Andros.20"
3.36250819411088,"Andros.21"
3.99803336723795,"Andros.22"
9.25804625337969,"Andros.23"
3.15720635734001,"Andros.24"
7.30094962806279,"Andros.25"
3.10188437985108,"Andros.26"
4.72724150776602,"Andros.27"
5.2792222700867,"Andros.28"
3.8963174220678,"Andros.29"
3.27613786337795,"Andros.30"
3.08416753319594,"Andros.31"
3.56275592848678,"Andros.32"
37.2619406834302,"Martinique"
5.28627324955147,"Great Abaco"
8.48469533451966,"Gorda Cay"
