"name","mean_elev","median_elev","min_elev","max_elev"
"Cayo Cabezos",4.55740922473013,5,-78,45
"Cayo Anclitas",1.78630136986301,2,-38,24
"Cayo Grande.1",2.31420765027322,2,-2,10
"Cayo Grande.2",2.24604966139955,2,-9,10
"Cayos Cinco Balas",1.42213114754098,2,-7,4
"Cayos Cinco Balas.1",2.8379746835443,2,0,8
"Cayos Cinco Balas.2",2.59345794392523,2,-1,7
"Cayos Cinco Balas.3",2.41792717086835,2,-7,15
"Cayos los Cayuelos",8.78111587982833,9,0,14
"Cayos Aguardiente",6.90977443609023,7,-30,34
"Cayos Aguardiente.1",6.71384615384615,7,1,45
"Cayo Coco.2",7.43813015582035,7,-5,15
"Cayo del Pasaje",8.27678571428571,8,4,13
"Cayo San Juan.1",6.29974160206718,7,0,11
"Cayos Boca de Alonso",6.95548833189283,7,0,14
"Cayo de los Indios",6.68937644341801,7,-114,57
"Cayos de San Felipe",6.84424379232506,7,-54,21
"Cayo Grande.3",8.26315789473684,8,0,16
"Cayo Grande.4",8.31024096385542,8,1,15
"Cayo Grande.5",8.53795379537954,9.5,-66,131
"Castle",5.25,6,-230,59
"Cayo Rapado Chico",9.1608040201005,9,0,18
"Cayos de la Herradura",3,3,-1,23
"Cayo Jutias",7.50409836065574,7,-1,23
"Cayeria Las Cayamas",4.84897671136203,5,-3,10
"Cayeria Las Cayamas.1",5,5,0,10
"Cayeria Las Cayamas.2",5.51470588235294,5,-2,16
"Cayo Santa Maria",5.43553321678322,5,-23,24
"Cayos Pajonal",0.839491916859122,1,-2,11
"Cayo Medano de Casiguas",4.60051216389245,4,-4,30
"Cayos Jutias",5.32902033271719,5,-4,12
"Cayos Dromedarios",4.85337552742616,5,0,13
"Cayos de las Cinco Leguas",6.2312661498708,6,1,12
"Long.1",2.62080536912752,3,-4,8
"Long.2",2.39699149771092,2,-23,41
"Long.3",1.97379032258065,2,-40,8
"Cayos Falcones",4.23826714801444,4,-5,11
"Long.4",2.35751295336788,2,-4,8
"Cayos Blancos",4.88,4,-3,13
"Cayo Boca Seca",-0.265625,1,-49,3
"Cayo Puerco",8.13839285714286,9,2,13
"Maycock Cay",5.24291497975709,5,-12,14
"Cayo Los Cayuelos",0.675925925925926,0,-15,15
"Flamingo Cay",6.71144278606965,5,-1,27
"Isla Beata",35.0591013530763,32,-11,86
"Île à Vache",11.845939675174,8,-11,66
"Isla Saona",8.21057990690458,6,-341,427
"Île Grosse Caye",37.8632352941176,29,-3,135
"Isla Catalina",3.74101969872538,2,-73,19
"Île Corny",29.1428571428571,28,-14,67
"Petite Cayemite",24.3893805309735,20.5,-10,66
"Grande Cayemite",81.14490598109,72,-55,371
"Île de la Gonâve",218.691714626995,180,-59,772
"Jamaica",323.211039807776,269,-584,2244
"Great Goat Island",21.3707753479125,9,-124,100
"Puerto Rico",234.697035789787,162,-148,1310
"Pineros",14.1309523809524,10,0,68
"Trinidad",83.9183649326836,47,-435,939
"Gaspar Grande",42.307392996109,39,2,98
"Chacachacare",80.9519890260631,74,-548,469
"Monos",90.2971285892634,79,-2,267
"North Andros",5.68244853075936,5,-101,124
"Yellow Cay",4.25036089915447,4,-10,40
"High Ridge Cay",5.04944649446495,5,-30,60
"Middle Bight Cay",5.09470153618448,5,-77,76
"Reids Cay",4.28942115768463,4,-1,8
"Pine Tree Cay",4.00187969924812,4,-7,7
"Madiera Cay",4.60084033613445,4,-3,56
"Pine Cay",4.29275970619098,4,-7,15
"Pot Cay",4.11369509043928,4,-7,33
"Big Wood Cay",5.22611858358496,5,-52,60
"Williams Island",3.66014037680089,4,-5,17
"Andros",3.79302155644867,4,-63,38
"Andros.1",3.21350364963504,3,-26,13
"Andros.2",4.27067669172932,4,-4,17
"Andros.3",4.23209169054441,4,0,8
"Andros.4",4.24561403508772,4,-14,28
"Andros.5",3.90173410404624,4,1,8
"Andros.6",3.78492239467849,4,1,8
"Andros.7",4.90990990990991,5,-64,85
"Andros.8",3.36453201970443,3,-43,48
"Andros.9",3.25077399380805,3,0,6
"Andros.10",5.55799373040752,6,2,16
"Andros.11",3.4692118226601,3,0,8
"Andros.12",3.63985032740879,4,0,8
"Andros.13",3.73972602739726,4,0,8
"Andros.14",0.536803364879075,0,-5,14
"Andros.15",3.71714743589744,4,-1,18
"Andros.16",4.00651465798046,4,-1,13
"Great Inagua",5.26188980464189,5,-52,47
"South Andros",5.55631053824873,5,-41,70
"Linder Cay",4.88260254596888,5,-6,14
"Andros.17",4.07786885245902,4,-36,28
"Andros.18",3.54061747317714,3,-32,28
"Andros.19",3.30693696547355,3,-64,49
"Andros.20",3.30396475770925,4,-46,18
"Andros.21",3.72924187725632,4,-1,9
"Andros.22",2.66037735849057,3,-10,8
"Andros.23",2.41255605381166,3,-32,24
"Andros.24",2.88520109332292,3,-13,43
"Andros.25",2.25215252152522,3,-46,56
"Andros.26",3.23008849557522,3,0,11
"Andros.27",3.13566739606127,3,-20,35
"Andros.28",4.73529411764706,5,-7,34
"Andros.29",4.2,4,1,12
"Andros.30",4.1043956043956,4,-16,11
"Andros.31",4.30288461538461,4,-2,11
"Andros.32",4.61822985468956,4,-1,26
"Martinique",186.359799235415,122,-80,1379
"Great Abaco",5.08055926901475,5,-722,141
"Gorda Cay",3.22584033613445,3,-166,21
"Top Cay",1.50328947368421,1,-7,12
"Mangrove Cay",1.60975609756098,2,-1,4
"Moore?s Island",3.73399458972047,3,-31,21
"Tilloo Cay",7.96308724832215,8,-9,16
"Lubbers Quarters",10.9861591695502,10,1,26
"Long Cay.1",2.0062630480167,2,-1,6
"Dilly Cay",5.38912133891213,5,-36,12
"Lightbourn?s Cay",1.92770448548813,2,-4,14
"Big Lake Cay",-3.60185185185185,1,-80,14
"Great Guana Cay",5.47549909255898,5,-4,18
"Green Turtle Cay",4.49290322580645,5,-24,17
"Basin Harbour Cay",3.60650887573965,3,-1,11
"Nun Jack Cay",4.2,4,-2,16
"Randalls Cay",2.65934065934066,2,-4,11
"Powell Cay",4.05776173285199,3,-8,14
"Wood Cay",-6.86138613861386,1,-212,8
"Great Abaco.1",-24.4254385964912,0,-243,3
"Great Abaco.2",-19.6595744680851,0,-510,9
"Great Abaco.3",0.271293375394322,1,-18,4
"Great Abaco.4",-23.8662420382166,0,-635,2
"Great Abaco.5",-17.0258302583026,0,-544,41
"Great Abaco.6",-16.0210378681627,0,-481,25
"Great Abaco.7",-2.09583333333333,1,-195,69
"Great Abaco.8",-23.2975609756098,0,-355,4
"Great Abaco.9",-29.8909090909091,0,-621,130
"Great Abaco.10",-7.05863956215794,0,-490,6
"Great Abaco.11",-1.47524752475248,0,-106,5
"Great Abaco.12",-8.41379310344828,0,-175,2
"Great Abaco.13",-0.707089552238806,2,-185,60
"Great Abaco.14",-0.679802955665025,0,-27,2
"Great Abaco.15",1.04522613065327,1,-1,3
"Great Abaco.16",-4.41132637853949,1,-706,65
"Great Abaco.17",-0.387464387464387,0,-48,3
"Great Abaco.18",1.8731884057971,1,-54,41
"Great Abaco.19",-1.72811059907834,0,-49,21
"Big Cross Cay",-2.42857142857143,0,-55,24
"Michael's Cay",1.4261796042618,2,-7,6
"Big Coppice Mangrove",-0.0702179176755448,1,-26,3
"Big Joe Downer Cay",0.79718875502008,1,-19,5
"Scotland Cay",5.88475836431227,5,-38,30
"Little Joe Downer Cay",1.06,1,-9,4
"Grand Bahama",4.28378719244958,4,-132,111
"August Cay",2.03125,2,-2,8
"Man o? War Cay",3.28826530612245,3,0,13
"Water Cay",2.67651403249631,2,-1,12
"Grand Bahama.1",2.30379746835443,2,-14,9
"Grand Bahama.2",2.09385113268608,2,0,12
"Grand Bahama.3",2.41454545454545,2,0,6
"Grand Bahama.4",3.78751369112815,3,-13,90
"Sweetings Cay",1.07300115874855,1,-2,6
"Jackson's Cay",0.892430278884462,1,-5,9
"Grand Bahama.5",1.35046728971963,1,-1,4
"Grand Bahama.6",1.27826086956522,1,-1,5
"The Bahamas",-0.814432989690722,0,-24,5
"Guadeloupe",187.591540446288,60,-259,1454
"Marie Galante",84.4505964817686,89,-617,234
"Îlet à Fajou",4.24271844660194,4,0,7
"Dominica",353.985473353467,318,-181,1419
"Saint Lucia",166.943218884506,137,-143,902
"Hog Cay.1",3.21973094170404,3,-1,7
"Rum Cay Island",6.75879141805256,6,-123,118
"Crooked",2.89795918367347,3,0,7
"Acklins.1",5.00827067669173,4,-2,16
"Barbados",106.903595367145,82,-22,336
"Eleuthera",11.8739483933215,10,-225,125
"Current Island",8.81126914660832,9,-94,114
"Harbour Island",15.9945454545455,16,-4,33
"Russel Island",9.69370460048426,9,-3,26
"Cat",11.1974719940785,9,-245,110
"St Vincent",325.842667887764,272,-33,1196
"Grenada",210.106800849671,163,-1416,815
"Tobago",174.052507665353,151,-256,572
"Mayaguana",7.78471353741867,7,-237,58
"Grand Turk",7.07288712422008,6,-9,27
"Antigua",48.4364338967173,30,-397,383
"Long Island",6.28691983122363,6,-10,16
"New Providence",8.00251717323798,7,-20,39
"Paradise Island",9.05555555555556,9,2,20
"St. Croix",60.0706473761648,40,-29,344
"Great Exuma",7.05783334295779,6,-9,33
"Coakley Cay",4.31772575250836,4,-7,12
"Bowe Cay",4.01860465116279,4,0,8
"Little Exuma",5.50629478985086,5,-7,22
"Jewfish Cay",6.45226130653266,6,1,14
"Moriah Harbour Cay",2.77814569536424,3,-2,8
"Stocking Island",5.04697986577181,4,-52,45
"Green Turtle Cay.1",3.74626865671642,3,0,14
"Great Exuma.1",2.73321554770318,2,-2,13
"Great Exuma.2",3.87878787878788,4,-1,8
"Great Exuma.3",2.9,3,-17,6
"North Caicos",5.82901958809608,4,-74,50
"Middle Caicos",5.76788518819388,5,-34,46
"Parrot Cay",3.90027198549411,4,-14,26
"North Caicos.1",4.24497991967872,4,-2,13
"North Caicos.2",4.12161144578313,4,-92,10
"Grand Cayman",6.78741554274385,6,-122,71
"East Caicos",5.97644234574089,5,-18,85
"East Caicos.1",3.89861751152074,4,-12,7
"Tortue",142.250255332808,142,-138,354
"Barbuda",13.2128251331871,9,-130,71
"Barbuda.1",4.61042183622829,5,-1,10
"St Kitts",213.194820539022,135,-69,1110
"San Salvador",8.57258668846652,8,-103,43
"Viegues",37.8517724584177,27,-7,282
"Little Inagua",7.68136731871172,7,-5,27
"Montserrat",230.265707559508,193,-510,892
"Ronde Island",50.9204301075269,45,4,148
"Petite Martinique",58.4494680851064,48.5,2,187
"Carriacou Island",66.6116751269035,48,1,285
"Terre-de-Bas",103.723235527359,84,1,290
"Terre de Bas",5.14814814814815,5,-28,37
"La Désirade",120.556494787264,110,1,282
"Nevis",158.489923360772,110,-4,964
"Sint Eustatius",114.784888203547,84,-1,572
"Saba Island",276.445086705202,249,-7,844
"Île Saint-Barthélemy",66.7865734265734,56,-11,259
"Anguilla",21.3282141290039,19,-11,85
"Dog Island",12.31,10,-4,32
"Scrub Island",8.17230769230769,7,1,24
"Little Cayman",6.52778767367296,7,-281,43
"Cayman Brac Island",23.6418492138153,23,-49,53
"Samana Cay",7.58518291749579,7,-125,121
"Cayo Blanco",5.54137115839243,5,-1,17
"Cayo Galindo",5.01943114615601,5,-18,27
"Cayo Cruz del Padre",5.43427230046948,5,-1,11
"Hog Cay.2",7.17235188509874,7,1,19
"Cay Sal",5.38056680161943,5,2,11
"Allen Cay",3.29657794676806,2,-13,16
"Lee Stocking Island",9.33681462140992,9,-44,48
"Norman?s Pond Cay",6.30967741935484,7,-50,22
"Bock Cay",8.79566563467492,8,-3,24
"Young Island",7.604,8,-74,71
"Conception Island",3.67918858001503,3,-9,19
"Darby Island",9.61137440758294,9,-17,25
"Rudder Cut Cay",7.11400651465798,8,-145,128
"Cave Cay",9.13488372093023,9,2,19
"Big Farmer?s Cay",9.31919642857143,9,-18,26
"Green Cay",7.375,7,-6,24
"Great Guana Cay.1",10.9515472312704,10,-23,37
"Bitter Guana Cay",10.4714285714286,10,-9,25
"Staniel Cay",9.55840455840456,9,-9,22
"Big Major?s Spot",10.963963963964,11,-2,22
"Spanish Wells",4.02325581395349,4,-46,62
"Sampson Cay",1.55397727272727,3,-46,31
