"Island","Distance_m"
"Andros.10",116792.130701585
"Andros.11",160189.969618144
"Andros.12",158971.243113563
"Andros.13",163373.09774633
"Andros.14",114503.67257246
"Andros.15",158136.956690172
"Andros.16",128939.234797564
"Great Inagua",325315.776204152
"South Andros",104458.549674535
"Linder Cay",96824.9695843266
"Andros.18",115563.615718405
"Andros.19",121272.406875528
"Andros.20",126710.706879447
"Andros.21",109870.476716923
"Andros.24",122065.040196563
"Andros.25",122449.705521801
"Andros.27",120944.018023328
"Andros.28",104393.185990971
"Andros.29",104918.036052147
"Andros.30",101396.429821323
"Andros.31",100923.600359501
"Andros.32",97127.5109648173
"Gorda Cay",41620.2146183849
"Top Cay",36053.035280728
"Moore?s Island",32602.0262096684
"Tilloo Cay",28112.3414573839
"Lubbers Quarters",28791.1604880045
"Long Cay.1",62231.6263262429
"Lightbourn?s Cay",67521.8677701155
"Big Lake Cay",34790.5687137942
"Great Guana Cay",37502.5332498088
"Green Turtle Cay",47377.7102858899
"Basin Harbour Cay",56108.6433984856
"Nun Jack Cay",54382.9621710197
"Randalls Cay",62801.9777174923
"Powell Cay",65661.8124310315
"Wood Cay",6170.48046431758
"Great Abaco.2",3262.95083481388
"Great Abaco.3",7577.95179512635
"Great Abaco.4",4609.53041840761
"Great Abaco.5",5857.71723233442
"Great Abaco.6",7753.62507329519
"Great Abaco.9",9610.63879860578
"Great Abaco.10",11393.577165188
"Great Abaco.13",17188.8537593984
"Great Abaco.16",18700.7434698997
"Great Abaco.17",20840.0265818703
"Great Abaco.18",19641.2532610579
"Big Cross Cay",62625.5339682939
"Michael's Cay",64433.255333521
"Big Coppice Mangrove",27614.5886770001
"Big Joe Downer Cay",34574.3413850251
"Scotland Cay",36099.4144974031
"Little Joe Downer Cay",37896.6352337361
"Grand Bahama",119970.795225975
"August Cay",73408.0581811591
"Man o? War Cay",170762.493219228
"Water Cay",134071.697205121
"Grand Bahama.1",154764.966691395
"Grand Bahama.2",155794.908655064
"Grand Bahama.3",152737.656198811
"Grand Bahama.4",153239.961396344
"Sweetings Cay",69327.4575725012
"Grand Bahama.5",142769.563356605
"Grand Bahama.6",131620.996527496
"The Bahamas",81314.0061884631
"Guadeloupe",86746.2406424099
"Marie Galante",56040.8772957003
"Rum Cay Island",54735.2757049792
"Crooked",160179.393200064
"Acklins.1",160498.868133468
"Eleuthera",56935.1430490466
"Harbour Island",20914.2875308197
"Russel Island",7774.01666619706
"Cat",107185.239452134
"St Vincent",75934.5721010733
"Mayaguana",242484.524023589
"Grand Turk",284717.845333387
"New Providence",69568.1685620613
"Paradise Island",58607.4301947787
"St. Croix",78255.7026109419
"Great Exuma",133791.139198091
"Coakley Cay",139150.532526745
"Little Exuma",130840.045408628
"Moriah Harbour Cay",135608.872610579
"Stocking Island",140805.602844652
"Great Exuma.1",146958.552116438
"North Caicos",338725.645511906
"Middle Caicos",323098.532838805
"Parrot Cay",343188.928639374
"North Caicos.1",343116.669028673
"North Caicos.2",339414.014173108
"East Caicos",309667.976267658
"Tortue",204000.994875397
"Barbuda.1",10982.2792801575
"St Kitts",28534.7547470467
"Viegues",81784.508808597
"Little Inagua",321793.29796032
"Ronde Island",23737.7610964687
"Petite Martinique",55528.9564493884
"Carriacou Island",47759.5325088014
"Terre-de-Bas",55744.5849405744
"Terre de Bas",85613.4304004444
"La Désirade",103765.571006128
"Sint Eustatius",56032.7676169154
"Saba Island",67809.4090674572
"Île Saint-Barthélemy",42223.9277236802
"Dog Island",21966.0152505749
"Scrub Island",13994.2265289385
"Little Cayman",132749.590664412
"Cayman Brac Island",158268.167626263
"Samana Cay",130358.661851956
"Cayo Blanco",278860.125791872
"Cayo Galindo",271409.032871652
"Cayo Cruz del Padre",273472.002705276
"Hog Cay.2",123527.402277281
"Allen Cay",104525.058728438
"Lee Stocking Island",105410.018932633
"Norman?s Pond Cay",102086.773727027
"Bock Cay",96647.1345749806
"Young Island",93879.4781001435
"Conception Island",66976.564894414
"Darby Island",89446.9504931828
"Rudder Cut Cay",85790.4141276235
"Big Farmer?s Cay",76610.2602499424
"Green Cay",64056.5243769032
"Great Guana Cay.1",62436.881509721
"Staniel Cay",48042.0060468789
"Spanish Wells",121853.840211106
"Sampson Cay",42111.4507417817
"Pipe Cay",36806.2489101649
"Compass Cay",34897.3577282442
"Bell Island",28960.7623834023
"Halls Pond Cay",23264.5420974705
"Waderick Wells Cay",17941.1047119428
"Shroud Cay",5271.50639860621
"Shroud Cay.1",6329.63784999529
"Little San Salvador",85426.8663644742
"Norman?s Cay Island",16136.0260877351
"Gold Cay",178303.809158475
"Highbourn Cay",27230.0151740362
"Ship Channel Cay",38122.422153494
"Frazer?s Hog Cay",103804.628599592
"Whale Cay",94904.3490196973
"Bonds Cay",88962.0194569165
"Hoffman Cay",91451.2236609834
"South Bimini Cay",216652.895207657
"North Bimini",213248.293588972
"Bamboo Cay",91547.252612451
"Elbow Cay",32878.4732372722
"Big Cross Cay.1",86810.6071331453
"Cross Cays",87531.8460546528
"Little Cave Cay",87121.3702483375
"Allan Cay",81401.0184621983
"Great Sale Cay",119678.424055177
"Old Yankee Land",112242.462476876
"Grand Cay",145916.338781274
"Union",60220.9961592801
"Mayreau",66578.9542579116
"Canouan",77574.5398107563
"Mustique",101079.743339822
"Baliceaux",107448.761270299
"A Quatre",104577.861716504
"Bequia",102984.121541427
"Terre de Haut",54141.6482634618
"Caja de Muertos",36959.988271389
"Mona",150233.919625769
"Saint Martin/Sint Maarten",17039.9433566878
"Cayo Luis Pena",63857.9240848053
"de Culebra",59155.1870360859
"Norman",11974.859488916
