"Island","Distance_m"
"Yellow Cay",13405.3356170548
"High Ridge Cay",8106.85154429567
"Middle Bight Cay",13375.6260322046
"Reids Cay",8127.84359717466
"Pine Tree Cay",10924.3934340162
"Madiera Cay",15376.4799959748
"Pine Cay",10479.4957770413
"Pot Cay",13809.1497260102
"Big Wood Cay",17844.1812889807
"Williams Island",75550.6033537942
"Andros.1",9128.20757987426
"Andros.2",8804.77721517751
"Andros.3",10176.9418194889
"Andros.4",16937.8459760021
"Andros.5",18194.3196069002
"Andros.6",22430.8216548752
"Andros.7",53788.4740831755
"Andros.9",72302.0131331859
"Andros.10",50122.2606198241
"Andros.11",68403.1630064159
"Andros.12",68267.5763959593
"Andros.13",71061.5577632233
"Andros.14",52269.0108876889
"Andros.15",69613.2817995999
"Andros.16",16820.6212086973
"South Andros",37519.8319803008
"Linder Cay",20621.6913674279
"Andros.17",49188.984870111
"Andros.18",59177.9925071035
"Andros.19",51643.3497979528
"Andros.20",48279.07235444
"Andros.21",53951.6886959298
"Andros.22",46931.5332106465
"Andros.23",44858.7910533721
"Andros.24",44407.0444617819
"Andros.25",36082.4375548374
"Andros.26",35241.5092077064
"Andros.27",29646.0743507638
"Andros.28",24375.3460900956
"Andros.29",18307.357747828
"Andros.30",21011.5662596573
"Andros.31",19420.0249408836
"Andros.32",22164.8384572696
"Great Abaco",119970.795225975
"Gorda Cay",105778.509569894
"Top Cay",93681.8732333418
"Moore?s Island",91823.0179052335
"Tilloo Cay",141699.058969467
"Lubbers Quarters",140404.267660666
"Long Cay.1",58107.0651800144
"Dilly Cay",138532.797240534
"Lightbourn?s Cay",53711.6724428313
"Big Lake Cay",104184.107403109
"Great Guana Cay",126086.344083588
"Green Turtle Cay",107372.302064908
"Basin Harbour Cay",91422.9497113793
"Nun Jack Cay",104455.573579261
"Randalls Cay",89275.5133941957
"Powell Cay",96050.291784866
"Wood Cay",115231.719473372
"Great Abaco.1",117254.702100507
"Great Abaco.2",118075.479546505
"Great Abaco.3",112626.107021545
"Great Abaco.4",121652.052110923
"Great Abaco.5",119446.937487592
"Great Abaco.6",114746.644042381
"Great Abaco.7",118949.013850362
"Great Abaco.9",116969.966195467
"Great Abaco.10",115464.390314559
"Great Abaco.13",119026.472479321
"Great Abaco.16",115639.597217944
"Great Abaco.17",109534.007693292
"Great Abaco.18",114004.387022615
"Great Abaco.19",119941.888462413
"Big Cross Cay",58377.8848681332
"Michael's Cay",56218.2258449185
"Big Coppice Mangrove",106172.320445779
"Big Joe Downer Cay",96537.4232940592
"Scotland Cay",131785.576902392
"Little Joe Downer Cay",95707.3251249464
"August Cay",49897.1309701016
"Man o? War Cay",51452.2102429815
"Water Cay",17161.5655390009
"Grand Bahama.1",38221.6961545212
"Grand Bahama.2",39195.5582678044
"Grand Bahama.3",36074.8421545412
"Grand Bahama.4",36975.6073681103
"Sweetings Cay",52853.9112128155
"Jackson's Cay",53501.3247662156
"Grand Bahama.5",23037.9549683458
"Grand Bahama.6",15760.0466317502
"The Bahamas",49947.7582143236
"Guadeloupe",86746.2406424099
"Marie Galante",133240.009548755
"Îlet à Fajou",77605.7286142493
"Dominica",94015.1973599981
"Hog Cay.1",57192.8987267223
"Rum Cay Island",54735.2757049792
"Crooked",30146.7665524865
"Acklins.1",31530.6107548388
"Current Island",56935.1430490466
"Harbour Island",54782.1916809776
"Russel Island",66978.8437590811
"Grand Turk",97034.0255090141
"Paradise Island",10962.8760096489
"Coakley Cay",19023.6330974545
"Bowe Cay",15964.6462083301
"Little Exuma",35417.7595135639
"Moriah Harbour Cay",26862.5649045693
"Stocking Island",15804.1328121767
"Great Exuma.1",13235.4871592286
"Great Exuma.3",17309.3917865745
"Middle Caicos",24346.9484211731
"Parrot Cay",10809.9088192174
"North Caicos.1",7549.24087677628
"North Caicos.2",8104.7388125854
"East Caicos",48476.229989069
"East Caicos.1",55994.4898416007
"Tortue",128958.667994774
"Barbuda.1",10982.2792801575
"Ronde Island",23737.7610964687
"Petite Martinique",22993.0949567685
"Carriacou Island",29859.5860307098
"Terre-de-Bas",115023.425238296
"Terre de Bas",124330.351637129
"La Désirade",116196.710003752
"Sint Eustatius",27755.2370660582
"Saba Island",59512.4059666921
"Île Saint-Barthélemy",42223.9277236802
"Dog Island",21966.0152505749
"Scrub Island",13994.2265289385
"Samana Cay",60483.909259547
"Cayo Blanco",256932.137845072
"Cayo Galindo",265344.538517853
"Cayo Cruz del Padre",262954.506582452
"Hog Cay.2",47438.731368623
"Cay Sal",239948.36330268
"Allen Cay",31610.7264183048
"Lee Stocking Island",28409.9904270503
"Norman?s Pond Cay",31945.0439935265
"Bock Cay",37390.4863550178
"Young Island",40188.1795438117
"Conception Island",66976.564894414
"Darby Island",44774.8234488761
"Rudder Cut Cay",48311.8966944562
"Cave Cay",52766.0201482616
"Big Farmer?s Cay",57441.7646988838
"Green Cay",73475.5996388101
"Great Guana Cay.1",71384.6995033238
"Staniel Cay",85814.148969643
"Big Major?s Spot",87920.1332089529
"Spanish Wells",9337.95436678374
"Sampson Cay",91787.6901021887
"Pipe Cay",95116.1848000518
"Compass Cay",92539.457343136
"Bell Island",89195.8752872501
"Halls Pond Cay",84352.4459350626
"Waderick Wells Cay",82516.9734816046
"Hawksbill Cay",79557.4712664591
"Shroud Cay",76477.6638994879
