"TRI","name"
21.611969434298,"Norte de Wolf"
28.1133134403546,"Santa Fé"
87.9959893623988,"Cuatro Hermanos Sur"
39.6046163770888,"Sin Nombre"
11.1632140704564,"Punta Bowditch Norte"
18.5928862094879,"Mao"
15.2100589083141,"Santiago"
8.94236493110657,"Dura"
16.4828019142151,"Punta Mangle Sur"
16.5227108001709,"Este"
6.1644139289856,"Las Bayas Pequeña"
2.88561805089315,"La Fé"
3.87298345565796,"Dalrymple"
51.9936449262831,"Daphne Menor"
2.82842707633972,"Marielas Norte"
62.3975959953655,"Rabida"
10.0243467000637,"Santa Cruz"
26.7207775115967,"Rabida.1"
11.7420363426208,"Logie"
4.89897966384888,"Gordon Central"
NA,"La Torre"
67.5406265258789,"Pináculo de Wolf"
7.9364319412476,"Baltra"
2.17636384963989,"La Loberí­a"
21.8174247741699,"Ayora"
59.7532615906426,"Darwin"
59.0985240595681,"Daphne Major"
10.354047032503,"Plaza Norte"
12.1655254364014,"Ballena"
21.0223298370838,"Leon Dormido"
12.1198630332947,"Punta Mangle Norte"
10.1299870014191,"Blanca"
8.77496433258057,"Oeste"
6.24499797821045,"Devine"
83.8741027832031,"Cuatro Hermanos Oeste"
53.5065949757894,"Tortuga Oeste"
4.4721360206604,"Caleta Tiburón Sur"
8,"Pitt (offshore)"
83.7810834017667,"Cuatro Hermanos Norte"
16.912712097168,"Este de Darwin - Norte"
21.8706828208197,"Gardner"
24.1082610506,"Sombrero Chino"
1.86602538824081,"El Arco de Darwin"
13.6954002976418,"Villamil Sureste"
21.1222424507141,"Dumb"
1.57313215732574,"Guy Fawkes Norte"
78.3179133422393,"Gardner por Floreana"
2.68802380561829,"Marielas Este"
10.7703294754028,"El Trompo"
10.2509233752886,"Muelle"
6.95965313911438,"Cousins"
5.64355111122131,"Punta Bowditch Sur"
30.421467593222,"Bainbridge #3"
64.1873958175247,"Caldwell"
29.179780960083,"Bainbridge #5"
12.1338477134705,"Guy Fawkes Oeste"
11.2013772328695,"Plaza Sur"
23.2177307009697,"Beagle Sur"
5.86447429656982,"Punta Bowditch Este"
46.8215036626545,"Pinzón"
4,"Beagle Norte"
7.04422283172607,"Osborn"
43.4091777801514,"Leon Dormido Pequeña"
13.7255129814148,"Caleta del Bucanero"
16.6259622573853,"Beagle Oeste"
6.16388034820557,"Gordon Este"
23.3372951507568,"Bainbridge #2"
399.866234302521,"La Ventana"
47.8152024405343,"Caamaño"
4.00181603431702,"Fondiadero"
27.3283036549886,"Bainbridge #6"
10.9229061619113,"Genovesa"
5.17792355700543,"Tintorera (Villamil)"
5.91366267204285,"Xarifa"
4.72966112409319,"Las Bayas Grande"
21.6455689442183,"Fernandina"
11.6074457168579,"Fernandina.1"
5.38516473770142,"Gordon Oeste"
2.22851928075155,"Marielas Sur"
6.88396879037221,"Lobos"
3.16227769851685,"Faro"
51.1185161045619,"Bainbridge #1"
24.2831315994263,"Redonda"
27.6674255371094,"Onan"
39.7023182974921,"Cowley"
20.0689322153727,"Guy Fawkes Sur"
20.9899115562439,"Albany"
81.384270562066,"Cuatro Hermanos Este"
27.5241899802306,"Bartolome"
10.271194106195,"Seymour Norte"
28.6455041341034,"Pinta"
9.40172316477849,"Mosquera"
21.771541595459,"Dumb.1"
13.403348235494,"San Cristobal"
4.4721360206604,"Viuda"
29.3933597564697,"Bainbridge #4"
12.9389338493347,"Watson"
4.24264049530029,"Caleta Tiburón Norte"
4.89897966384888,"Corona del Diablo Central"
97.5292539820425,"Wolf"
19.9619052410126,"Union"
53.2278842436962,"Eden"
6.42135095596313,"Santa Fe"
4.82231539487839,"Canal Sur"
6.03736775398254,"Venecia"
3.04056942462921,"Gran Felipe"
19.1183381800726,"Floreana"
7.80998730659485,"Bainbridge #7"
15.2970581054688,"Noroeste de Santa Fé"
3.87298345565796,"Rata"
29.3459556803984,"Campeon"
13.7368329750183,"Marchena"
3.87298345565796,"Bainbridge #8"
12.1802305670224,"Española"
1.57313215732574,"Guy Fawkes Este"
16.1062449122166,"Isabela"
7.68114566802979,"Isabela.1"
5.38516473770142,"Isabela.2"
11.7046995162964,"Pitt (nearshore)"
34.6842918395996,"Espejo"
76.6083738161967,"Tortuga"
51.7599310874939,"Enderby"
